address,property_overview,price,property_url,purpose,property_description,num_bath_rooms,num_bed_rooms,area,cctv-security-amenity,parking-spaces-amenity,elevators-in-building-amenity,broadband-internet-amenity,maintenance-staff-amenity,building_type,building_nature,flooring-amenity,balcony-or-terrace-amenity,city,locality,address_1
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,JCX TOWER,1136/A,Block-I,Level 5,Japan Street","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.Facilities Available>Fully Furnished Apartment>Security & Laundry Service>Filter, Washing Machine, LP Gas>Drawing, Dining Space Available>Daily Room & Bathroom Cleaning>WiFi, Microwave oven, Geyser, A/C>Short-Term Rentals, TV, Refrigerator, Contact For Booking:+88 01712553547+88 01921096846  ,",4799900,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31029/family-house-tolet-from-may,Rent,Family House Tolet From May ,2,2,800,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Jcx Tower,1136/A,Block-I,Level 5,Japan Street"
"60 Feet Road,Dhaka,60 Feet Road,Dhaka,Paka Mosque More,Janta Road","1 room sublet for rent. , ★Rooms have balcony and toilet(attest) , ★Lift available., ★24 hours security. , ★There is a prayer facility in the building. . , ★Electronic filter has water system. , ★Free bike/cycle parking is available. , ★water bill free, ★garbage bill free., , only house rent, service charge, electricity bill to be paid. , , Rent: Tk 6000 + Tk 600 service charge. , cylinder gas must be used. , , ★Location: 4th floor of 10 tala flat inside 60 feet road, Paka Masjid, Janata Road (Mirpur-2, Pirerbagh) ★, , can move from next month., , What is required: 1/1 month advance and 2/ Voter ID card and 1 copy of photograph to be paid. If you want to stay in the flat, you have to follow some rules and regulations: 1. Do not play loud music. , 2. Always keep the room clean and tidy. 3. Flat cannot be entered after 11:30 PM. (occasional delay is fine)",660000,https://www.thetolet.com/en/dhaka/60-feet-road/31028/sublet-room-tolet-from-may,Rent,Sublet Room Tolet From May ,1,1,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"60 Feet Road,60 Feet Road,Paka Mosque More,Janta Road"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,JCX TOWER,1136/A,Block-I,Level 5 Japan Street","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C., ., Facilities Available, >Fully Furnished Apartment, >Security & Laundry Service, >Filter, Washing Machine, LP Gas, >Drawing, Dining Space Available, >Daily Room & Bathroom Cleaning, >WiFi, Microwave oven, Geyser, A/C, >Short-Term Rentals, TV, Refrigerator,  , ., Website:  https://www.hotels.com.bd/rental/2-bedroom-furnished, YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,  , ., Contact For Booking:, +88 01712553547, +88 01921096846",4799900,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31027/family-house-tolet-from-april,Rent,Family House Tolet From May ,2,2,800,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Jcx Tower,1136/A,Block-I,Level 5 Japan Street"
"PALTON,VIP ROAD,25,Paltan,Dhaka,PALTON,VIP ROAD,25,Paltan,Dhaka,NIRIBILI 25 PURANA PALTON LINE,DHAKA","ITS ABOUT 1200 SFT FLAT, SOUTH FACING, 3RD FLOOR FLAT., 4 BIG ROOMS WITH ATTACHED 3 BATHROOMS. KITCHEN WITH 2 LONG AND WIDE VERANDAS. , WATER, GAS, ELECTRICITY ALL ARE METERED. AVAILABLE DEEP TUBEWELL WATER., SURROUNDING CCTV COVERAGE., AVAILABLE TRANSPORTATION SYSTEM. ,  ,  ",2800000,https://www.thetolet.com/en/dhaka/paltan/31026/family-house-tolet-from-may,Rent,Family House Tolet From May ,3,4,1200,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"Palton,Vip Road,25,Paltan,Palton,Vip Road,25,Paltan,Niribili 25 Purana Palton Line"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,জেসিএক্স টাওয়ার,১১৩৬/এ,লেভেল ৫,বসুন্ধরা","2 bedroom (furnished) serviced apartment for rent in Bashundhara R/A. Short-Term Rental Offered with Kitchen, TV, Refrigerator, WiFi, Microwave Oven, A/C., , , , , , Amenities:>WIFI, TV>Swimming Pool, AC, Gym>Theatre & Security>Laundry & Daily Cleaning Services>Grocery Shop & Cabinet Kitchen>Refrigerator & Microwave, Click for 2 Room Flat:>https://www.hotels.com.bd/two-room>https://www.youtube.com/watch?v=b_dWFqx8jKkBooking Contact: 01712-55354701921096846, , ​​, , ,",3600000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31025/family-house-tolet-from-april,Rent,Family House Tolet From April ,1,1,375,,,,,,Apartment,Residential,Yes,,Dhaka,Bashundhara R.A,"জেসিএক্স টাওয়ার,১১৩৬/এ,লেভেল ৫,বসুন্ধরা"
"24,Sp Road.,407/1A,Dakshin Paik,60 Feet Road,Dhaka,24,Sp Road.,407/1A,Dakshin Paik,60 Feet Road,Dhaka,SP Road",,800000,https://www.thetolet.com/en/dhaka/60-feet-road/31024/sublet-room-tolet-from-june,Rent,Sublet Room Tolet From June ,1,1,0,Yes,1.0,,Yes,,Apartment,Residential,Yes,Yes,Dhaka,,"24,Sp Road.,407/1A,Dakshin Paik,60 Feet Road,24,Sp Road.,407/1A,Dakshin Paik,60 Feet Road,Sp Road"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,JCX TOWER,1136/A,Block-I,Level 5 Japan Street","Furnished 2BHK Serviced Apartment RENT In Bashundhara, Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C., ., Facilities Available, >Fully Furnished Apartment, >Security & Laundry Service, >Filter, Washing Machine, LP Gas, >Drawing, Dining Space Available, >Daily Room & Bathroom Cleaning, >WiFi, Microwave oven, Geyser, A/C, >Short-Term Rentals, TV, Refrigerator, ., YouTube, 1. https://www.hotels.com.bd/rental/apartment-two-bedroom, 2. https://www.youtube.com/watch?v=xB_m6tVSiok, Contact For Booking:, +88 01712553547, +88 01921096846, ,  ",4800000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31009/family-house-tolet-from-may,Rent,Family House Tolet From May ,2,2,800,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Jcx Tower,1136/A,Block-I,Level 5 Japan Street"
"West Mollertek (Near,2/B,249/55,Daskhinkhan,Dhaka,West Mollertek (Near,2/B,249/55,Daskhinkhan,Dhaka,Artistic Sarker Empire,House # 249/55,West Mollertek","South Facing , 3 Beds, 3 Baths, 2 Baranda, 1 Drawing, 1 Dinning, 1 Kitchen, Gas, Electricity, Lift, Generator, Parking Available, House Rent: 20,000/- Monthly, Service Charges: 3,500/- Monthly (including water bill), Utility Bill: Gas (Titas) & Electricity (Desco) has to pay by tenant as per usages. , Parking: 3,000/- Monthly, Advance: 60,000/-",2000000,https://www.thetolet.com/en/dhaka/daskhinkhan/31001/family-house-tolet-from-april,Rent,Family House Tolet From April ,3,3,1250,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"West Mollertek (Near,2/B,249/55,Daskhinkhan,West Mollertek (Near,2/B,249/55,Daskhinkhan,Artistic Sarker Empire,House # 249/55,West Mollertek"
"6,207,Bashundhara R.A,Dhaka,6,207,Bashundhara R.A,Dhaka,Block D,House 207","*** We committed to provide Excellent Service,  , in Rental Apartment Living Experience to You.***, 2000sft Exclusive South facing Apartment for Rent at Bashundhara R/A., 3 Bed room with 2 attached toilet 1 common toilet, servant room with attached toilet. Provide hot and cold water line in all toilet., Large Drawing, dining, family living space., Kitchen with kitchen cabinet and kitchen hood., 2 large size south facing balcony ., Provide A/C connection line in all room., Attached mosquito net in all window., 8 passengers  lift. , All power included generator., Gardening, community space and Cloth dying area in rooftop., Separate Parking, fire extinguisher, Intercom., 24 hours security with CC camera., , Pls Feel Free Contact With us for your Better Living Experience  ,  ",5000000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30980/family-house-tolet-from-april,Rent,Family House Tolet From April ,4,3,2000,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"6,207,6,207,Block D,House 207"
"4,7,Adabor,Dhaka,4,7,Adabor,Dhaka,Adabor,Monsurabad Housing","House for rent in Adabar Mohammadpur., ​​, 1. 3 bed, 2 bath, drawing dining. , 2. Kitchen and 2 balconies. , 3. Titus gas, no lift. , 4. Family or working bachelor. 5. Flat Rent - 15000/=, 6. Water + Gas (included in rent)., 6. No service charge., 7. Permanent gas water electricity., 8. 950 square feet. Electricity bill separate Adabar Dhaka.",1500000,https://www.thetolet.com/en/dhaka/adabor/30973/family-house-tolet-from-may,Rent,Family House Tolet From May ,2,3,1000,Yes,,,,,Apartment,Residential,Yes,Yes,Dhaka,Adabor,"4,7,4,7,Monsurabad Housing"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,JCX TOWER,1136/A,Block-I,Level 5 Japan Street","2 bedroom (furnished) serviced apartment for rent in Bashundhara R/A. Short-term rental is offered with kitchen, TV, refrigerator, WiFi, microwave oven, A/C. . Facilities: >WiFi, TV >Swimmingpool, AC, Gym >Theater & Security >Laundry & Daily Cleaning Service >Grocery Shop & Cabinet Kitchen >Refrigerator & Microwave. Click for 2 room flat: >https://www.hotels.com.bd/two-room >https://www.youtube.com/watch?v=b_dWFqx8jKk . For booking contact: 01712-553547 01921096846",3600000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30965/family-house-tolet-from-april,Rent,Family House Tolet From April ,1,1,375,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"Jcx Tower,1136/A,Block-I,Level 5 Japan Street"
"115,Netrakona Sadar Upazilla,Netrokona,115,Netrakona Sadar Upazilla,Netrokona,Nagra Tnt Office","#Approved please, 3 room flat house for rent (family), Address: Microstand/TNT Office Nagra. Rent = 6700 taka (negotiable), contact directly if interested, 01310501999, 2 bed + 1 drawing room + 2 bathroom + 1 balcony, #cylinder must be used.",700000,https://www.thetolet.com/en/netrokona/netrakona-sadar-upazilla/30958/family-house-tolet-from-may,Rent,Family House Tolet From May ,2,2,20,,,,,,Apartment,Residential,Yes,Yes,,,"115,Netrakona Sadar Upazilla,Netrokona,115,Netrakona Sadar Upazilla,Netrokona,Nagra Tnt Office"
"Bashundhara R.A,Dhaka,Bashundhara R.A,Dhaka,জেসিক্স,বিসনেস টাওয়ার,জাপানি স্ট্রিট,বসুন্ধরা আ","2 bedroom (furnished) serviced apartment for rent in Bashundhara R/A. Short-term rental is offered with kitchen, TV, refrigerator, WiFi, microwave oven, A/C. , LP Gas>WiFi, Microwave Oven, Geyser., Click for 2 Bedroom:>https://www.hotels.com.bd/rental/apartment-two-bedroom>https://www.youtube.com/watch ?v=xB_m6tVSiok., , ​​for booking contact: 01712-55354701921096846",4800000,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30947/family-house-tolet-from-april,Rent,Family House Tolet From April ,2,2,800,Yes,1.0,Yes,Yes,,Apartment,Residential,Yes,Yes,Dhaka,Bashundhara R.A,"জেসিক্স,বিসনেস টাওয়ার,জাপানি স্ট্রিট,বসুন্ধরা আ"
"mirpur 1,uttor vish,5,59,Mirpur,Dhaka,mirpur 1,uttor vish,5,59,Mirpur,Dhaka,Uttor Vishil","Only 2 people, if 3 people have to pay 7000, the net bill is different",650000,https://www.thetolet.com/en/dhaka/mirpur/30939/bachelor-house-tolet-from-may,Rent,Bachelor House Tolet From May ,1,1,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Mirpur,"Mirpur 1,Uttor Vish,5,59,Mirpur 1,Uttor Vish,5,59,Uttor Vishil"
"26,53/2,Farmgate,Dhaka,26,53/2,Farmgate,Dhaka,পশ্চিম তেজতুরী বাজার",Seats are rented here for employees. Food quality in this hostel is good.Hostel has nice environment. Most likely the hostel seats are vacant.,800000,https://www.thetolet.com/en/dhaka/farmgate/30931/hostel-seat-tolet-from-march,Rent,Hostel Seat Tolet From March ,2,8,0,,,,,,Apartment,Residential,Yes,,Dhaka,,"26,53/2,Farmgate,26,53/2,Farmgate,পশ্চিম তেজতুরী বাজার"
"Mohammadpur,Dhaka,Mohammadpur,Dhaka,আঁচল,House-21,Road-03,Block-C,Dhaka Uddan,Mohammadpur","From April,2023, 1600 sft south facing Luxurious Flat for Rent:, LOCATION: , আঁচল, House-21,Road-03,Block-C,Dhaka Uddan,Mohammadpur,Dhaka., Description:, 3 bed rooms, 3 bath(2 high comode+1 pan comode), Drawing, dining,kitchen., 4 balconies(with every bedroom and kitchen), Spacious with high quality fittings., Lift, Generator,Garage,Two watchmen facilities., Concealed gas cylinder line from gorund floor., Ask for more pictures any time in inbox, RENT:, 20000",2000000,https://www.thetolet.com/en/dhaka/mohammadpur/30924/family-house-tolet-from-april,Rent,Family House Tolet From April ,3,3,0,,,,,,Apartment,Residential,,,Dhaka,Mohammadpur,"আঁচল,House-21,Road-03,Block-C,Dhaka Uddan"
"21/1 Aga Sadek road,Bangshal,Dhaka,21/1 Aga Sadek road,Bangshal,Dhaka,Bagangoli",Fully tiled. On road,1500000,https://www.thetolet.com/en/dhaka/bangshal/30913/family-house-tolet-from-march,Rent,Family House Tolet From March ,2,2,0,,,,,,Apartment,Residential,Yes,Yes,Dhaka,Bangshal,"21/1 Aga Sadek Road,21/1 Aga Sadek Road,Bagangoli"
"Faridpur Sadar,Faridpur,Faridpur Sadar,Faridpur,দখিন ঝিলটুনি ঈদগার মোর","One room one kitchen one toilet, rent 3500, South Jhiltuli Eidgar More",350000,https://www.thetolet.com/en/faridpur/faridpur-sadar/30908/family-house-tolet-from-april,Rent,Family House Tolet From April ,1,1,0,,,,,,Apartment,Residential,,,,,"Faridpur Sadar,Faridpur,Faridpur Sadar,Faridpur,দখিন ঝিলটুনি ঈদগার মোর"
"শনিআখরা পলাশপুর কদমত,৮,44,Jatrabari,Dhaka,শনিআখরা পলাশপুর কদমত,৮,44,Jatrabari,Dhaka,গ‍্যাসরোড পলাশপুর কদমতলী ঢাকা",,800000,https://www.thetolet.com/en/dhaka/jatrabari/30896/family-house-tolet-from-april,Rent,Family House Tolet From April ,2,2,700,,,,,,Apartment,Residential,Yes,Yes,Dhaka,,"শনিআখরা পলাশপুর কদমত,৮,44,Jatrabari,শনিআখরা পলাশপুর কদমত,৮,44,Jatrabari,গ‍্যাসরোড পলাশপুর কদমতলী ঢাকা"
"Block#C,06,23,Mugda,Dhaka,Block#C,06,23,Mugda,Dhaka,Green Model Town,Manda,Mugda,Dhaka",Well decorated with interior design. Glass fitting. Two flower bed with all facility in Green Model Town.,2600000,https://www.thetolet.com/en/dhaka/mugda/30882/family-house-tolet-from-april,Rent,Family House Tolet From April ,3,4,1800,,,Yes,,,Apartment,Residential,Yes,Yes,Dhaka,,"Block#C,06,23,Mugda,Block#C,06,23,Mugda,Green Model Town,Manda,Mugda"
"3,105/6,Kalabagan,Dhaka,3,105/6,Kalabagan,Dhaka,কাঠালবাগান বাজার (তিলকের গলি)","Call for details. , 01719951285",700000,https://www.thetolet.com/en/dhaka/kalabagan/30863/bachelor-house-tolet-from-april,Rent,Bachelor House Tolet From April ,1,1,220,,,,,,Apartment,Residential,Yes,,Dhaka,Kalabagan,"3,105/6,3,105/6,কাঠালবাগান বাজার (তিলকের গলি)"
"Basabo,Dhaka,Basabo,Dhaka,Bashabo",,0,https://www.thetolet.com/en/dhaka/basabo/30850/family-house-tolet-from-march,Rent,Family House Tolet From March ,1,2,0,,,,,,Apartment,Residential,,,Dhaka,Bashabo,"Basabo,Basabo"
"no,post office road,54,Badda,Dhaka,no,post office road,54,Badda,Dhaka,Middle Badda,post Office Road -sahabuddin More",,650000,https://www.thetolet.com/en/dhaka/badda/30842/sublet-room-tolet-from-march,Rent,Sublet Room Tolet From March ,1,1,0,Yes,,,,,Apartment,Residential,Yes,Yes,Dhaka,Badda,"No,Post Office Road,54,No,Post Office Road,54,Middle Badda,Post Office Road -Sahabuddin More"
"Uttara,Dhaka,Uttara,Dhaka,৬ নং সেক্টর এর পাশে জয়নাল মাকের্ট টি আই সি কলনীতে","Assalamu Alaikum, a room for rent in Zainal Market TIC Colony next to Sector 6. , the house has 2 rooms with a toilet and a kitchen. The house is a 1 floor house. , Kitchen, bathroom to be shared. Cylinder gas. Only for mae family., Rent: 3750, water 200, current and cylinder which comes half, those who are interested in taking the whole will call. , thank you",375000,https://www.thetolet.com/en/dhaka/uttara/30835/family-house-tolet-from-march,Rent,Family House Tolet From March ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,৬ নং সেক্টর এর পাশে জয়নাল মাকের্ট টি আই সি কলনীতে
"Malibag,Dhaka,Malibag,Dhaka,২৮০,গুলবাগ (পানির পাম্প),মালিবাগ","Tolet for Bachelor., one seat will be rented from 1st March 2023 in beautiful and pleasant surroundings. (Attach balcony), seat fare: Tk 3200 (one seat for two people per room), address: 280, Gulbagh (water pump), Malibagh",320000,https://www.thetolet.com/en/dhaka/malibag/30828/bachelor-house-tolet-from-march,Rent,Bachelor House Tolet From March ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,,"Malibag,Malibag,২৮০,গুলবাগ (পানির পাম্প),মালিবাগ"
"Barisal Sadar,Barisal,Barisal Sadar,Barisal,নাহার মঞ্জিল,উত্তর কাউনিয়া হাউজিং আরজু মনি স্কুল এর পূর্ব পাশে","The house will be rented. , from March 1. , Family + Bachelor, 3 Room House (2 Bed+1 Drawing/Dining), 1 Bathroom. , Ideal house for small family, , Ground floor, Rent: Tk 4500, Location: Nahar Manzil, North Kaunia Housing, East side of Arju Money School, In front of Islami Bank or Elderly., Rent distance Tk 10 from Sadar Road or New Bazaar.",450000,https://www.thetolet.com/en/barisal/barisal-sadar/30822/family-house-tolet-from-march,Rent,Family House Tolet From March ,1,2,0,,,,,,Apartment,Residential,,,,,"Barisal Sadar,Barisal,Barisal Sadar,Barisal,নাহার মঞ্জিল,উত্তর কাউনিয়া হাউজিং আরজু মনি স্কুল এর পূর্ব পাশে"
"Kalabagan,Dhaka,Kalabagan,Dhaka,7/2 North Dhanmondi Kalabagan,Opposite Of Square Hospital","From MARCH, TO-LET TO-LET ?, Two room for sablet., Ladies flat. Only for female., One big room with attached balcony., Common bath and kitchen for bachelor female 2 or 3 jon thaka jabe. , One single room for 1/2 Jon thakte parbe., 2nd floor, SABLET. , Address: 7/2 north dhanmondi kalabagan, opposite of square hospital, DIU Two minutes walking distance, boshiruddin road mosjid golir miner ar side dea jai goli, deadend , sufia villar bam sider bari.",0,https://www.thetolet.com/en/dhaka/kalabagan/30815/bachelor-house-tolet-from-march,Rent,Bachelor House Tolet From March ,2,2,0,,,,,,Apartment,Residential,,,Dhaka,Kalabagan,"7/2 North Dhanmondi Kalabagan,Opposite Of Square Hospital"
"Uttara,Dhaka,Uttara,Dhaka,রোডঃ ১১,বাসাঃ৫৯,ফ্ল্যাট 5(D) সেক্টরঃ ১০,উত্তরা","Masterbed three seater room will be on rent from March. Road: 11, House: 59, Flat 5(D) Sector: 10, North. 2 minutes walk from IUBAT.",0,https://www.thetolet.com/en/dhaka/uttara/30809/bachelor-house-tolet-from-march,Rent,Bachelor House Tolet From March ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,Uttara,"রোডঃ ১১,বাসাঃ৫৯,ফ্ল্যাট 5(D) সেক্টরঃ ১০,উত্তরা"
"Bosila,Dhaka,Bosila,Dhaka,বসিলা মেট্রো হাউজিং,বসিলা","#Sublet Rent- Sublet Rent -Sublet Rent#, #To_Let #To_Let..........,Bachelor,Employed,Spouse Preference. , **Ongoing / next month (March) 01 room (with balcony and toilet) sublet in tiled family house in brand new flat for rent., **Contact:**, **Basila Metro Housing,Basila.**, * *( Housing next to RAB office** ), Rent : 5500 (including water + electricity + garbage bill) , Gas : own",550000,https://www.thetolet.com/en/dhaka/bosila/30799/sublet-room-tolet-from-march,Rent,Sublet Room Tolet From March ,1,1,0,,,,,,Apartment,Residential,,,Dhaka,,"Bosila,Bosila,বসিলা মেট্রো হাউজিং,বসিলা"
"Badda,Dhaka,Badda,Dhaka,Uttar Badda",,0,https://www.thetolet.com/en/dhaka/badda/30792/bachelor-house-tolet-from-march,Rent,Bachelor House Tolet From March ,1,1,0,,,,,,Apartment,Residential,,Yes,Dhaka,Badda,Uttar Badda
