index,Title,Property ID,Area,Floor,num_bedrooms,num_bathrooms,Description,Location,Purpose,Garages,Building_nature,Air-Condition-amenity,Balcony-amenity,BBQ-area-amenity,CCTV-amenity,Driver-Room-amenity,Emergency-Exit-amenity,Fire-Exit-amenity,Fire-Hose-amenity,Guard-Room-amenity,Generator-amenity,Geyser-amenity,GYM-Room-amenity,Hot-Water-amenity,Intercom-amenity,Lift-amenity,Marble-Floors-amenity,Security-Guard-amenity,Single-Unit-amenity,Tiled-Floors-amenity,Commercial-Permission-amenity,Concealed-Phone-amenity,Fire-Place-amenity,Smoke-Detector-amenity,Community-Room-amenity,Garden-amenity,Landscape-Garden-amenity,Laundry-Room-amenity,Roof-Top-Garden-amenity,Washing-Machine-amenity,Wi-Fi-connectivity-amenity,Dual-Sinks-amenity,Swimming-Pool-amenity,Fire-Extinguisher-amenity,Floor-Type-amenity,Child-Playground-amenity,Central-Cooling-amenity,Central-Heating-amenity,Satelite-TV-amenity,Water-Sprinkler-amenity,Mosaic-amenity,Lawn-amenity,Home-Theater-amenity,Price
79,Good office for rent,10365,1620.0,1,3,3.0,"Six Storied building Bright office space 1620 Sq.Ft floor space, 1st Floor, 3 Bed 3 Bath, 1 Common Bath, lift generetor & 1 Car parking.",Banani,For Rent,1,Apartment for Office,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,65000.0
80,Apartment for rent,10364,1800.0,3,3,3.0,"Six Storied building Bright office space 1800 Sq.Ft floor space, 3rd Floor, 3 Bed 3 Bath, 1 Common Bath, lift generetor & 1 Car parking.",Banani,For Rent,1,Un furnished,,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,50000.0
81,Bright apartment for rent,10362,1800.0,3,3,3.0,"10 storied building 1800 sqft 3rd floor 3 bed with bath drawing, Dining lift & generetor back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,55000.0
82,Small commercial office space,10360,4000.0,1,4,2.0,"Tweleve Storied building Bright office space 622 Sq.Ft floor space, 1st Floor, 3 Bed 3 Bath, 1 Common Bath, work station, lift generetor & 1 Car parking.",Banani,For Rent,2,Commercial Space,,Yes,,Yes,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,105740.0
83,Bright Semi furnished apartment,10358,2200.0,7,3,3.0,"An exclusive spacious apartment on 7th floor with available 2200 sqft Comfortable Drawing, Dining & Family Living space. Luxurious 3 bed with attach 4 bath & servant room, servant bath, balcony, 1 car parking. 24 hours security & generator back up.",Banani,For Rent,1,Un furnished,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,100000.0
84,Fully furnished apartment,10353,2400.0,1,3,3.0,"Six storied building full furnished apartment on 1st floor with available 2400 sqft space. 3 bed with attach bath, parking, Comfortable Drawing, Dining, Sarvent room,Lift, Genaretor back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,80000.0
85,Fully Decoreted office space for rent,10347,4700.0,4,3,3.0,Fully Decoreted office at Banani south 2200 sqft 4th floor,Banani,For Rent,1,Apartment for Office,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,120000.0
86,Brand new apartment,10339,2600.0,5,3,3.0,"Brand new apartment at Banani north 2600 sqft 3 bed with large drawing, dining living space, 2 lift and generetor back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,90000.0
87,Fully furnished apartment,10303,1800.0,3,3,3.0,"Six storied building full furnished apartment on 3rd floor with available 1800 sqft space. 3 bed with attach bath, parking, Comfortable Drawing, Dining, Sarvent room,Lift, Genaretor back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,70000.0
88,Bright & Large office space,10254,2500.0,"A-6, 3 ",3,3.0,"Location : Banani North
2500 Sft, Apartment available on 4th Floor, Big Work Station , Living Space,  Bathroom , 2 Lift, Generator & Car parking.",Banani,For Rent,2,Apartment for Office,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,140000.0
89,Brand new apartment,10232,2500.0,,3,3.0,"Thirteen storied building 2500 sqft 3 bed with bath Great for entertaining spacious two lift, full generetor back up and parking.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,90000.0
90,Exclusive Semi-furnished apartment,10228,2500.0,2,3,3.0,"An exclusive spacious apartment on 3rd floor with available 2700 sqft Comfortable Drawing, Dining & Family Living space. Luxurious 3 bed with attach 4 bath & servant room, servant bath, 2 balcony, 1 car parking. 24 hours security & full generator back up.",Banani,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,120000.0
91,Exclusive semi furnished apartment,10227,2440.0,6,3,3.0,"Exclusive apartment very poush & luxurious living, 2440 square feet, 3 bed with attached wash room & verandas, Air condition available, all facilities provided, very airy and sufficient sunlight, lift generetor & 2 car parking.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,Yes,,Yes,,,,,,,,80000.0
92,Traditional Exclusive Un furnished Apartment,10223,2240.0,1,3,3.0,"An exclusive spacious apartment on 1st floor with available 2240 sqft space. Comfortable Drawing, Dining & Family Living space. Luxuriouse 3 bed with attach bath & servent room, servent bath, balcony, 1 car parking security guard & 24 hours generator back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,80000.0
93,Luxury Semi-furnished apartment for rent,10208,2440.0,6,3,3.0,"Spacious and fabulous home in prime location. An Exclusive apartment on 6th floor with available 2440 sqft space. Thise Luxurious style 3 bed, 3 bath home has impact resistant windows. Comfortable Drawing, Dining, Sarvent, Kitchen, Family Living. 1 Car Parking,  Lift, Generator back up.",Banani,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,85000.0
94,Exclusive Furnished Apartment For Rent,10147,27002700.0,3,3,4.0,"An exclusive spacious apartment on 3rd floor with available 2700 sqft  Comfortable Drawing, Dining & Family Living space. Luxurious 3 bed with attach 4 bath & servant room, servant bath, 2 balcony, 1 car parking. 24 hours security  &  full  generator back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,Yes,,,,Yes,,Yes,,,,,,,,180000.0
95,Large semi furnished Apartment at Gulshan 2,10103,5500.0,3,4,4.0,"An excellent south faching gorgeous semi furnished apartment on 3rd floor with available 5500 sqft space. Luxurious 4 bed, 4 bath, Drawing, Dining, 2 lift, swimming pool, Gym Sarvent room & servent quarter Lift, Generator back up.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,300000.0
96,Luxurious Furnished Apartment,10093,2600.0,6,3,3.0,"Location : Banani North
2600 sft Space 6th Floor Exclusive interior Apartment , 3 Bed, 3 Bathroom 1 Common Bath, Drawing, Dining Living Room , 3 Balcony Tiled Floor 2 lift generetor back up
 & 1 car parking available.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,120000.0
97,Brand new apartment,10073,3500.0,7,3,3.0,"An exclusive Brand new apartment on 7th floor of 14 storied building. 3 bed with attach 4 bath are available with 3500 sft space. Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. 2 car Parking, Lift, Gym, Swimming pool , full Generator back up, All facilities are available.",Gulshan 2,For Rent,2,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,Yes,Yes,,,,,,,,180000.0
98,Brand new furnished Apartment,10061,2300.0,5,3,3.0,"Brand new Luxurious full furnished apartment on 5th floor with available 2300 sqft space. 3 bed with attach bath, parking, Comfortable Drawing, Dining, Sarvent room,Lift, Genaretor back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,170000.0
99,Exclusive pant house apartment,10031,4600.0,11,3,4.0,"An excellent south facing gorgeous semi furnished apartment on 11th floor with available 4600 sqft space. Luxurious 3 bed, 4 bath, 2 parking, Drawing, Dining, Sarvent, Lift & full Generator back up.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,Yes,,,Yes,,230000.0
100,Exclusive fully furnished apartment,9997,2700.0,3,3,3.0,"In the desirable location of Banani north a beautiful apartment is located for you to make it your new home. Apartment is 3rd floor with available 2700 sqft space. Exclusive 3 bed, 3 bath, 1 car parking &  balcony. Drawing, Dining, Family Living & Generator Full back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,110000.0
101,Four Bed apartment at Gulshan 1,9994,2500.0,1,4,4.0,"An traditional Exclusive apartment on 1st floor with available 2500 sqft space. Comfortable 4 bed attach 3 bath, 1 common bath. Luxurious Drawing, Dining, Family Living, Sarvent, Kitchen & 1 parking, Generator back up",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,65000.0
102,Exclusive Lake view Apartment,9985,2400.0,10,3,3.0,"12- Storied building, Luxurious Apartment flat, 4000 sft , 10th floor, 3 Bed with attach Bath, Balcony, Lift , 2 Car parking. Full Generator backup,Gym & BBQ area.",Gulshan 1,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,Yes,,200000.0
103,Luxurious Furnished Apartment,9979,2000.0,7,3,3.0,"In the desirable location of gulshan two a beautiful apartment is located for you to make it your new home. Apartment is 7th floor with available 2000 sqft space. Exclusive 3 bed, 3 bath, 1 car parking & 3 balcony. Drawing, Dining, Family Living & Generator Full back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,,,,,,100000.0
104,Brand New Semi Furnished Apartment,9970,4000.0,4,4,4.0,"Exclusive Brand new apartment very poush & luxurious living, 4000 square feet, 4 bed with attached wash room & verandas, Air condition available, all facilities provided, very airy and sufficient sunlight, swimming pool, gym Full generetor back up & 2 car parking.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,,,,,260000.0
105,Lake View Semi furnished Apartment,9964,4000.0,10,3,3.0,"12- Storied building, Luxurious Apartment Semi Furnished flat, 4000 sft , 10th floor, 3 Bed with attach Bath, Balcony, Lift , 2 Car parking. Full Generator backup, BBQ area.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,250000.0
106,Luxury semi furnished apartment,9949,3500.0,8,3,4.0,"Exclusive apartment very poush & luxurious living, 3500 square feet, 3 bed with attached wash room & verandas, Air condition available, all facilities provided, very airy and sufficient sunlight, lift generetor & 2 car parking.",Gulshan 2,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,250000.0
107,Ultra Luxury Lake view Apartment,9928,4200.0,12,4,4.0,"•	A luxurious apartment south view , 12th floor ,
14 storied building.
•    4200 sft. Space with 4 bed with attach 4 bath, 1
common bath.
•	Comfortable and big space for drawing , living space.
•	condition, Lift, full back up Generator back up.
Roof Top Garden , Swimming Pool and BBQ area.",Gulshan 1,For Rent,2,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,Yes,,,,,,Yes,,200000.0
108,Bright apartment for rent,9916,2300.0,4,3,3.0,"Location : Banani North
2300 sft Space  3rd Floor Exclusive interior Apartment , 3 Bed, 2 Attached Bath 1 Common Bath, Drawing, Dining Living Room , 3 Balcony Tiled Floor 2 lift generetor back up & parking available.",Banani,For Rent,1,Un furnished,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,,,,Yes,Yes,Yes,,,,,,,,65000.0
109,High Classic Semi furnished apartment,9900,3700.0,3,3,3.0,"Exclusive apartment very poush & luxurious living, 3700 square feet, 3 bed with attached wash room & verandas, Air condition available, all facilities provided, very airy and sufficient sunlight, lift generetor & 2 car parking.",Gulshan 1,For Rent,2,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,150000.0
110,Exclusive Semi furnished apartment,9893,3000.0,5,3,3.0,"An excellent gorgeous semi furnished apartment on 5th floor with available 3000 sqft space. Luxurious 3 bed, 4 bath, 2 parking, All rooms has Ac, six burner oven, Drawing, Dining, Sarvent, Lift, Generator back up.",Gulshan 1,For Rent,2,Un furnished,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,90000.0
111,South Faching Gorgeous Semi Furnished Apartment,9773,3300.0,3,4,4.0,"An excellent south facing gorgeous semi furnished apartment on 3rd Floor with available 3300 sqft space. Air condition, wall cabinet Luxurious 4 bed, 4 bath, 2 parking, Drawing, Dining, Servant, Lift, Generator back up.",Baridhara Diplomatic Zone,For Rent,2,Un furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,160000.0
112,Exclusive full furnished apartment,9759,2100.0,3,3,3.0,"An exclusive full furnished apartment on 3rd floor with available 2100 sft. 3 bed, 3 bath, 1 parking, drawing, dining, sarvent, balcony lift, generator.",Baridhara Diplomatic Zone,For Rent,1,Full Furnished,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,,,,125000.0
113,Comfortable Environment! Exclusive Apartment,9756,2685.0,,4,4.0,"Comfortable environment exclusive unfurnished apartment in baridhara diplomatic zone. It is high security area. Apartment available 3685 sqft space. Luxurious four bed,
four bath, two car Parking, Drawing, Dining, Renovated kitchen, Sarvent, Family Living. BBQ area, Commonity room, Kist play room, Gym, Swimming pool. Lift, Generator full back up.",Baridhara Diplomatic Zone,For Rent,2,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,,,,,Yes,,350000.0
114,Luxurious Semi Furnished Apartment,9751,2900.0,5,3,3.0,"An exclusive Semi furnished apartment on 5th floor with available 2900 sqft space. 3 bed with 2 attach bath, 1 common bath, 1 car parking. Drawing, Dining, Sarvent, Family Living, Lift, Generator full back up.",Baridhara Diplomatic Zone,For Rent,1,Un furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,Yes,Yes,,,Yes,,,Yes,,130000.0
115,Stunning Furnished Apartment,9749,2516.0,3,3,3.0,"Beautiful furnished apartment on 3rd floor, Apartment with 2400 sqft space. 3 bed with attach bath room. Drawing, dining or living room 1 parking, lift & generator back up.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,100000.0
116,Spacious Exclusive Full Furnished Apartment,9742,2300.0,2,3,3.0,"Luxurious full furnished apartment on 2nd floor with available 2300 sqft sqft space. 3 bed with attach bath, 1 parking, Comfortable Drawing, Dining, Sarvent room,Lift, Genaretor buckup.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,110000.0
117,Very Good Full Furnished Apartment,9733,2250.0,6,2,2.0,"Very good apartment Location in Baridhara Diplomatic Zone. An exclusive full decorated apartment on 6th floor with available 2250 sqft space. 2 bed, 2 bath, 1 balcony, 1 car parking. Drawing, Dining, Sarvent, Lift Genaretor back up.",Baridhara Diplomatic Zone,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,,,,,150000.0
118,Exclusive Fabulous apartment,9723,3200.0,4,4,4.0,"An exclusive  fabulous apartment on 4th floor with available 3200 sft space. 4 bed, 4 bath, 2 parking, 2 balcony. Drawing, Dining, Family Living, Lift, Genaretor back up.",Baridhara Diplomatic Zone,For Rent,2,Un furnished,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,,Yes,,,Yes,Yes,,,,,,,,,165000.0
119,Absolute furnished apartment,9718,2000.0,7,3,4.0,"Ten storied building fully furnished apartment , 2000 sft, 7th floor, 3 bed, 4bath, Luxury drawing dining and living space fully equipped kitchen, Two lift & one car parking.",Gulshan 2,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,,,,,,,100000.0
120,Bright Apartment,9689,1800.0,4,3,3.0,"An Exclusive bright apartment on 4th floor of Ten storied building. 3 bed, 3 bath1800 sft . Drawing, Dining are so comfortable for luxurious living. Lift  Generator back up and 1 parking.",Gulshan 1,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,60000.0
121,Good Apartment for rent,9669,2100.0,3,3,3.0,"Exclusive apartment at Banani north very poush & luxurious living, 3rd floor 2150 square feet, 3 bed with attached wash room & verandas, all facilities provided, very airy and sufficient sunlight, lift and generetor back up.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,60000.0
122,Lake view furnished apartment,9622,2500.0,4,3,3.0,"Fully furnished self-contained residential apartment 2500 SQFT 3 bed with drawing, dining living space Fully equipped kitchen, lake view Balcony, cookware, homewares, oven, fridge, dishwasher and gas stove. lift & power back up.",Gulshan 1,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,Yes,,,,Yes,Yes,Yes,,,,,,,,80000.0
123,Spacious ExclusiveApartment,9604,3500.0,2,4,4.0,"An exclusive unfurnished apartment on 2nd floor with available 3500 sqft space. Luxurious 3 bed, 3 bath, 3 Balcony, Drawing, Dining, Family Living & Sarvent quarter swimming pool, Gym Lift & Generator back up.",Gulshan 2,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,200000.0
124,Naturally Well-Lit Full Furnished Apartment,9601,3000.0,11,3,3.0,"An Exclusive luxurious apartment on 11th floor of Eleventh storied building. 3 bed, 4 bath and well decorated apartment Drawing, Dining are so comfortable for luxurious living. Lift, Generator back up and 1 parking.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,100000.0
125,Good apartment for Office,9584,1412.0,3,3,3.0,"10 storied building 1412 sqft 3rd floor 3 room with work station cabinet & gyser available lift, Generetor & power back up.",Banani,For Rent,1,Apartment for Office,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,70000.0
126,Fully furnished apartment,9559,2200.0,8,3,3.0,"Ten storied building Well decorated Full furnished flat, 2200 sft, 8th floor, 3 bed with attach 3 bath, space, Dinging & Family Living. every room Lift, Generator back . Car parking space.",Banani,For Rent,1,Full Furnished,Yes,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,,,Yes,,,,,Yes,,Yes,,,,,,,,
127,Bright Furnished Apartment in Banani,9530,2300.0,4,3,3.0,"An Exclusive luxurious apartment on 4th floor of ten storied building. 3 bed, 3 bath and well decorated balcony available in 2400 sft space. Drawing, Dining are so comfortable for luxurious living. Lift, Generator full back up and 1 parking.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,Yes,Yes,,,,Yes,,Yes,,,,,,,,120000.0
128,Exclusive furnished apartment,9524,2200.0,3,3,3.0,"Exclusive Furnished apartment on 3rd floor with available 2200 sqft space. Luxurious 3 bed, 3 bad, 1 Parking, Sarvent, large Drawing, Dining, Lift, Generetor and power back up.",Banani,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,,Yes,,,,Yes,Yes,,,Yes,,Yes,,,,,,,,90000.0
129,Spacious Exclusive Apartment,9462,2750.0,1,4,4.0,"An exclusive apartment on 1st floor of 7 storied building. 4 bed with attach 4 bath are available with 2750 sft space. Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. 1 car Parking, Lift, full Generator back up.",Baridhara Diplomatic Zone,For Rent,1,Un furnished,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,,,,,Yes,,Yes,,,Yes,,,,,,,,,,120000.0
130,Brand new apartment,9408,2200.0,7,3,3.0,"An exclusive Brand new apartment on 7th floor of 10 storied building. 3 bed with 2 attach bath are available with 2200 sft space. Luxurious Drawing, Dinning, Kitchen, Servant Room with attach bathroom. 1 car Parking, Generator back up , all facilities are available.",Banani,For Rent,1,Un furnished,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,Yes,,Yes,Yes,,,Yes,,,,,Yes,Yes,Yes,,,,,,,,75000.0
131,Beautiful ful furnished Apartment,9308,2500.0,4,3,4.0,"An exclusive fully decorated apartment on 4th floor with available 2500 sft space. 3 bed with attach bath & 1 common bath room. Luxurious Drawing, Dining, living & sarvent room.1 Lift, 1 Parking, Generator back up.",Baridhara Diplomatic Zone,For Rent,1,Full Furnished,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,,Yes,,Yes,,Yes,,,Yes,Yes,Yes,,,Yes,,Yes,,,,,,,,130000.0
