area,building_type,building_nature,num_bath_rooms,num_bed_rooms,price,property_description,property_overview,property_url,purpose,city,locality,address,maintenance-staff-amenity,security-staff-amenity,facilities-for-disabled-amenity
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/2-bedroom-furnished,
YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 800 Sq. Meter,Floors: 7,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1661/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
,Apartment,NA,2.0,2.0,48000.0,"Furnished Short Term 02 Bedroom  Flat Rentals In Dhaka,
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
YouTube,
1. https://www.hotels.com.bd/rental/apartment-two-bedroom,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security",https://www.toleter.com/property/bd1592/,Rent,Dhaka,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,,"Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1663/,Rent,NA,,"Jcex Tower, 1 /A, Block-Eye, Level 1 Japan Street, Bashundhara R /A,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Bashundhara R/A will be rented 2 bedroom (well -equipped) service apartment.Short-terms with kitchen, TV, refrigerator, WiFi, microwave oven, A/C are provided.
.,
Facility facility :,
> WiFi, TV,
> Swimmingpool, AC, Gym,
> Theater & Security,
> Laundry & Daily Cleaning Service,
> Grocery Shop & Cabinet Kitchen,
> Refrigerator & microwave,
.,
Click for 2 room flats :,
> https://www.hotels.com.bd/two-room,
> https: //www.youtube.com/watch? v = b_dwfqx8jkk,.,
Contact for booking:,
12-5,
120","Size 375 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1630/,Rent,NA,,"Jcex Tower, 1 /A, Block-Eye, Level 1 Japan Street, Bashundhara R /A,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1587/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
,Apartment,NA,1.0,1.0,36000.0,"Bashundhara R/A will be rented 2 bedroom (well -equipped) service apartment.Short-term rentals including kitchen, TV, refrigerator, WiFi, microwave oven, A/C are given.
> WiFi, TV,
> Swimmingpool, AC, Gym,
> Theater & Security,
> Laundry & Daily Cleaning Service,
> Grocery Shop & Cabinet Kitchen,
> Click for refrigerator & microwave, 2 room flats :,
> https://www.hotels.com.bd/two-room,
> https://www.youtube.com/watch?v=B_DWFQX8JKK, please contact for booking:,
12-5,
120","Built in Year : 2020,Parking Spaces,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security",https://www.toleter.com/property/bd1602/,Rent,NA,,"Jcex Tower, 1 /A, Block-I, Level 1, Japan Street, Bashundhara R /A,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1597/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
8608.0,Apartment,NA,2.0,2.0,48000.0,,"Built in Year : 2020,Size 800 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1595/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1604/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Bashundhara R/A will be rented 2 bedroom (well -equipped) service apartment.Short-terms with kitchen, TV, refrigerator, WiFi, microwave oven, A/C are provided.
.,
Facility facility :,
> WiFi, TV,
> Swimmingpool, AC, Gym,
> Theater & Security,
> Laundry & Daily Cleaning Service,
> Grocery Shop & Cabinet Kitchen,
> Refrigerator & microwave,
.,
Click for 2 room flats :,
> https://www.hotels.com.bd/two-room,
> https: //www.youtube.com/watch? v = b_dwfqx8jkk,.,
Contact for booking:,
12-5,
120","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1608/,Rent,NA,,"Jcex Tower, 1 /A, Block-Eye, Level 1 Japan Street, Bashundhara R /A,",yes,yes,yes
8608.0,Apartment,NA,2.0,2.0,48000.0,"Furnished 2BHK Serviced Apartment RENT In Bashundhara,
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
YouTube,
1. https://www.hotels.com.bd/rental/apartment-two-bedroom,
2. https://www.youtube.com/watch?v=xB_m6tVSiok,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 800 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1606/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1610/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
8608.0,Apartment,NA,2.0,2.0,48000.0,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,.,
Website:  https://www.hotels.com.bd/rental/2-bedroom-furnished,
YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 800 Sq. Meter,Floors: 7,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1612/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
23672.0,Apartment,NA,3.0,3.0,90000.0,"Parking included.,
Beautiful and pleasant environment and all kinds of facilities are there,
There is a separate accommodation for workmen.","Built in Year : 2015,Size 2200 Sq. Meter,Floors: 06,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator",https://www.toleter.com/property/bd1614/,Rent,NA,,"House No :01. Road No:36. Gulshan-2 . Flat:D3 4Th Floor,",NA,NA,NA
8608.0,Apartment,NA,2.0,2.0,48000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2021,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1557/,Rent,NA,Bashundhara R/A,"Jcx Tower,1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Beautiful View,Balcony,CCTV Security,Others Main Features",https://www.toleter.com/property/bd1561/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: //www.hotels.com.bd/two-room,
YouTube: //www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2021,Size 375 Sq. Meter,Floors: 3,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1563/,Rent,NA,Bashundhara R/A,"Jcx Tower,1136/A, Block-I, Level 5, Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1568/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1573/,Rent,NA,Bashundhara R/A,"Jcx Tower, 1136/A, Block-I, Level 5 Japan Street,",yes,yes,yes
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2018,Size 375 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1551/,Rent,NA,,",",yes,yes,NA
4035.0,Apartment,NA,1.0,1.0,36000.0,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Website: https://www.hotels.com.bd/two-room,
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","Built in Year : 2021,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",https://www.toleter.com/property/bd1553/,Rent,NA,Bashundhara R/A,"Jcx Tower,1136/A, Block-I, Level 5, Japan Street,",yes,yes,NA
