Amenities,Bathroom,Bedroom,Description,Location,MainFeatures,NearByLocation,PricePerMonth,PropertyType,Status,url
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/apartment-furnished,
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096846","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),55000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1476/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1390/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1433/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 1,Bedrooms: 2,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.ecommerce.com.bd/…/servic…/studio-apartment/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2020,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1385/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 800 Sq. Meter,Floors: 2,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1393/
"Attached Bathroom,Dining Room",Bathrooms: 1,Bedrooms: 2,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.banglamart.com/co-living/studio-aptt-rentals/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 36000 Sq. Meter,Parking Spaces,Electricity Backup,CCTV Security,Elevator",Airport ( 30 km ),36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1402/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Built in Year : 2022,Size 800 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1408/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1411/
"kitchens: 1,Attached Bathroom,Common Bathroom,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 1,Bedrooms: 1,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.ecommerce.com.bd/…/servic…/studio-apartment/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 375 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 10 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",36000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1396/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features","Airport ( 10 km ),Nearby Schools,Nearby Hospitals,Shopping Malls,Nearby Restaurants,Public Transport,Other Nearby Places",48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1414/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 1,Bedrooms: 2,"Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available :,
> Grocery Shop, BBQ corner,
> Swimming Pool,Theatre room,,
> Gym with 24/7 and Jogging track,
> Daily Room & Bathroom Cleaning,
> Multi-purpose Hall Room With Full AC,
> Steam Bath, Thermal massager,
> Landscape With Sitting Arrangement,
.,
Please See more: https://www.ecommerce.com.bd/…/servic…/studio-apartment/,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Built in Year : 2022,Size 375 Sq. Meter,Floors: 10,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1421/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, , .","Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1427/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, , .","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1379/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 800 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1330/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube: https://www.youtube.com/watch?v=Y0b-pec1hlE,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1332/
kitchens: 1,Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1345/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Elevator",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1354/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1335/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1341/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 800 Sq. Meter,Floors: 2,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1351/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1360/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1367/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website : https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube : https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Business Tower, Plot – 1136/A Japan Street, Block – I, Level-5, Suite # H, Bashundhara R/A, Dhaka 1229, Bangladesh, ","Size 800 Sq. Meter,Parking Spaces,flooring,Electricity Backup,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1376/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/rental/2-bedroom-furnished-apartment-rental/,
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX Tower, 1136/A, Block-I, Level -5, Japan Street, Bashundhara R/A, ","Size 800 Sq. Meter,Parking Spaces,Electricity Backup,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 30 km ),48000 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1324/
"kitchens: 1,Attached Bathroom,Common Bathroom,Dining Room,Sitting Room,Laundry Room,Servant Quarters",Bathrooms: 2,Bedrooms: 2,"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.,
.,
Facilities Available,
>Fully Furnished Apartment,
>Security & Laundry Service,
>Filter, Washing Machine, LP Gas,
>Drawing, Dining Space Available,
>Daily Room & Bathroom Cleaning,
>WiFi, Microwave oven, Geyser, A/C,
>Short-Term Rentals, TV, Refrigerator,
.,
Website: https://www.hotels.com.bd/…/2-bedroom-furnished…/,
YouTube:https://www.youtube.com/watch?v=yp440KIPCvc,
.,
Contact For Booking:,
+88 01712553547,
+88 01921096842","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A, ","Built in Year : 2022,Size 800 Sq. Meter,Floors: 6,Parking Spaces,flooring,Electricity Backup,Waste Disposal,Beautiful View,Balcony,CCTV Security,Elevator,Others Main Features",Airport ( 10 km ),2 Tk,Flat / Apartment,For Rent ,https://www.toleter.com/property/bd1373/
