details,fire-exit-amenity,electricity-backup-amenity,gym-amenity,elevators-in-building-amenity,flooring-amenity,parking-spaces-amenity,price,building_nature,property_id,area,building_type,purpose,lawn-or-garden-amenity,swimming-pool-amenity,title,total_bathrooms,district,city,address,country
"টংগী হোসেন মার্কেট যোগাযোগ ব্যবস্থায় খুবই ভাল একটি এলাকা। এর পশ্চিমে ও পূর্বে কয়েক লক্ষ মানুষের বসবাস। স্থানীয়ভাবে বসবাসকারী জনগোষ্ঠী চাকুরী ও ব্যবসা এই দুই পেশাতে বেশ অবদান রাখছে।   এই জনগোষ্ঠীর একটি উল্লেখযোগ্য অংশ প্রবাসী আয় হিসেবে প্রচুর বৈদেশিক মুদ্রাও দেশে পাঠাচ্ছে। এই রকম আকর্ষণীয় স্থানে ঢাকা মায়মানসিংহ রোডের পশ্চিম পার্শ্বে United Shopping Complex এ অফিস ভাড়া হবে। বিস্তারিত নিম্নে দেয়া হলোঃ
 Rent offer: Space per floor is 7000 square feet. 3rd, 4th and 5th Floor total 21000 square feet. Location: Dhaka Mymansingh Road, beside Tongi Hossain Market bus stoppage. Building current status: Ground Floor: electronic market (shops), 1st floor: MTB bank (half of the floor) 2nd floor: District level Government Office, Prospective priority rent holder: Life and General Insurance company, Non Bank Financial Institutions , Corporate regional Office,  NGO Office, Co-operation Society. Interested rent holders are kindly requested to visit space. or call for any kind of queries.",,Partial,,,3,2 ,735000.0,Commercial,640,21000,Office Space,Rent,,,"21000 sft commercial floor rent in Tongi, Gazipur City",4,Tongi, Dhaka, Gazipur,Bangladesh
"11, 000 sft  commercial floor rent on 3rd floor in prime location of Dhanmondi.  It can be perfect place for Bank, Insurance, local r foreign NGO offices, convention centers or any kind of brand showroom.  Open single floor with toilet block, 8 reserve car parking facilities available in the basement and own separate generator for the floor. If you interested and want to visit the floor, please make an appointment first because there is no key on the side. Necessary arrangements will made to show the floor according to your time.",Yes,Full Backup,,Yes,,,1650000.0,Commercial,642,11000,Floor,Rent,Yes,,"Commercial 11,000  sft Office Sapce Rent In Dhanmondi",6,Dhanmondi, Dhaka,Dhanmondi,Bangladesh
"Furnished Serviced Office Space Rent In Bashundhara R/A
Our flexible, air-conditioned work spaces in Bashundhara R/A have all the material removal facilities your business requires for success, such as high speed internet and unlimited refreshments, biometric fingerprint, printing, scanning etc. We are ready to combine the highest-quality service and amenities to provide office space choices which are specific to the needs of your business.
.
Facilities Available
> Super-Fast WiFi
> Commercial Space
> Biometric Fingerprint
> Standard Meeting Room
> Lockable Storage & Cabinets
> Comfortable Desk Service, AC
> Separate USB, Electricity ports
> Kitchen With Fridge & Microwave
> Cleaning Service, Fire Extinguisher
> Printing ,Scanning, Photocopying 
> 24/7 Internal Network Monitoring
.
Please See More: https://www.banglamart.com/serviced-office
.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,,Yes,5,,1.0,Commercial,649,1600,Office Space,Rent,,,Shared/Coworking Office Space Rent In Bashundhara R/A,1,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"15,000 square feet shed for rent in Ashulia Kandaile area. A garments printing factory is currently running, they will be leaving on next February. Any kind of factory or godowan for rent from March-2023. Please call for more details.",,Partial,,,,1 ,180000.0,Commercial,645,15000,Factory Shade,Rent,,,"15,000 sftv shed for rent Kandaile Area, Ashulia",6,Ashulia, Dhaka, Savar,Bangladesh
"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>Wifi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=Y0b-pec1hlE
.
Contact For Booking:
+88 01712553547
+88 01921096842",Yes,Full Backup,,Yes,2,1 ,1.0,Residential,646,875,Furnished,Rent,Yes,,Vacation Rental Short Stay Apartment Available In Bashundhara,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"1650 sft open office space for rent in completely new building in Gulshan.  The floor has completed by tiles, there are 2 bathrooms , one car park in the basement with 24/7 generator and lift facilities etc.

The building conforms to all the rules and regulations of RAJUK which has all the commercial facilities and your office in this building will have a corporate experience.",Yes,Full Backup,,Yes,4,1 ,220000.0,Commercial,652,1662,Office Space,Rent,Yes,,1650 Sft Brand New Office Rent,2,Gulshan, Dhaka,Gulshan - 1,Bangladesh
"1000 sft full furnished small office for rent at 5th floor in Banani. There are 2executive room, 1 bathroom, another separate room with 5 working stations. The building has 2 elevators and full load backup generator facilities are available. There is no dedicated car parking with this office space but if required 1/2 car parking spaces can be managed in the basement on monthly rent basis.",Yes,Full Backup,,Yes,5,,140000.0,Commercial,655,1000,Office,Rent,Yes,,Small furnished office for rent in Banani,1,Banani, Dhaka,Banani,Bangladesh
"Address : Plot # 63, Road # 102, Sector # 1, Purchachal, Dhaka
Area : 7.5 katha 
Advantages : 
1. South facing corner plot beside Sheikh Hasina International Stadium.
2. Have boundary and gate
3. Opposite of the plot is kept as parking spot from Rajuk, therefore always good views and fresh air.
4. 75 feet concrete Road in front of the plot. 
5. Already there are residential buildings and restaurants beside the plot. 
6. City University 100 Katha plot is 5 minutes walk. Plot received from in Business Category. 
7. All Documents Are Up-to-date. 
8. Ready to Transfer the Property at any time for the prospective buyer. 
9. Brokerage Fee 1% to be paid by us to the fastest seller as incentive.",,,,,,,100000000.0,Land,412,8,Plot,Sale,,,7.5 Katha South facing corner plot,,Purbachal New Town, Dhaka, Purbachal Dhaka,Bangladesh
"📣 ঢাকার উত্তরা কামারপাড়া এলাকায় প্রায় ৩ কাঠা আয়তনের নিজস্ব জমিতে নির্মিতব্য ৭ তলা ভবনের প্রজেক্টে মাত্র ৪ জন প্রকৃত অংশীদার প্রয়োজন। 

🔎 প্রতি বর্গফুট মাত্র ৪ হাজার টাকা খরচে একেকজন অংশীদার ১৫০০+ স্কয়ার ফিটের একটি বড় ফ্ল্যাটের মালিক হতে পারবেন। ভবনে থাকবে লিফট এবং গ্যারেজ সুবিধা।  গ্যারেজ স্পেস এবং ইউটিলিটি বাবদ এককালীন কোন অতিরিক্ত টাকা দিতে হবে না। অর্থাৎ গ্যারেজ স্পেস এবং ইউটিলিটি সার্ভিসের এককালীন মূল্য ফ্রি! উত্তরা এবং আশেপাশের এলাকায় আধুনিক সকল সুবিধাসহ এতো কম দামে  নতুন ফ্ল্যাট অন্য কোথাও আপনি পাবেন না।  

✅ জমির মালিকানা ভিত্তিতে অংশীদার হওয়ার সুযোগ থাকায় আপনার বিনিয়োগ থাকবে এই প্রজেক্টে শতভাগ সুরক্ষিত। তাই দেরী না করে ইনবক্স করুন এক্ষুনি! অথবা, ফোন করতে পারেন আমাদের নম্বরে।

👉ফেসবুকে আমাদের সাথে যোগাযোগ করুন এই ঠিকানায়ঃ 
https://www.facebook.com/investmenthubbangladesh",,Partial,,Yes,4,1 ,6000000.0,Residential,408,1500,Apartment,Sale,Yes,,উত্তরায় ১৫০০+ বর্গফুটের ফ্ল্যাট সবথেকে কম দামে!,3,Uttara, Dhaka, Dhaka-1230.,Bangladesh
"3.3 Bigha (110 decimal)  factory land with 8000 Sft fully ready steel building (height 24 feet). 
800 sft office building. There is a boundary wall around the land.
40 kw electricity connection.  located at sheikh kandi, barodi road, sonargaon, narayangonj. 
30 feet front road & land is  200 ft long along road side. 
Opportunity to extended land upto 25 bigha. 
Expected price 5.5 crore",,No,,,1,,55000000.0,Land,415,47520,Land with building,Sale,,,"3.30 Bigha Land with Factory Shed  For Sale In Bostail-Madanpur Road, Narayangonj",5,Sonargoan, Narayanganj, Narayangonj,Bangladesh
Two ready flats for Sale near Hatir Jheel / Police Plaza.,,,,,6,0 ,4500000.0,Residential,421,1050,Brand New Apartment,Sale,,,Ready Flat for Sale,2,Badda, Dhaka,South Badda,Bangladesh
"2818 sqft ready apartment available for sale at 7th floor at Gulshan, north-east  facing with 4 bed room, 3 bath room, drawing room, dining room, kitchen, car parking -1, 3 balcony, servant room with toilet  etc. This apartment is very bright & airy , 4 years used flat , generator , lift are available Please call interested buyer  only.",Yes,Full Backup,Yes,Yes,7,,55000000.0,Residential,416,2818,Apartment,Sale,Yes,,2818 sft luxuries ready apartment for sale @ Gulshan,3,Gulshan, Dhaka,Gulshan,Bangladesh
"ঢাকার মানিকগঞ্জে এক দাগে মোট প্রায় ৫৯ কাঠা জমি বিক্রয় হবে |

জমিটি বাগান বাড়ি/কৃষি/ফ্যাক্টরি/খামার/গুদাম এর জন্য ব্যবহার উপযোগী | জমিটি চতুর্ভুজাকৃতির ও রেজিস্ট্রি মূলে এক দাগে একক মালিকানাধীন ও মানিকগঞ্জের সাটুরিয়া থানার অধীনে বরাইদ মৌজায় অবস্থিত। জমির পাশেই প্রধান সড়ক বিদ্যমান | এলাকায় পল্লী বিদ্যুৎ, ডিশ সংযোগ আছে। জমির কাছে আবাসিক ঘর বাড়িও আছে।

মোট মূল্য ৪৭,২০,০০০/= টাকা।
জমির পরিমাণ ৫৯ কাঠা।
প্রতি কাঠা ৮০,০০০/= টাকা।

যৌক্তিক দর প্রস্তাবের সুযোগ আছে।
পুরো জমি কেনার ক্ষেত্রে বিশেষ সুবিধা বিবেচনা করা হবে। আংশিক জমি কেনার ক্ষেত্রে বর্ধিত দরে ক্রয় করতে পারবেন। 

মৌজা : বরাইদ
উপজেলা : সাটুরিয়া
মানিকগঞ্জ
ঢাকা |

লোকেশন :
ঢাকা গাবতলি থেকে সরাসরি বাসে নবীনগর, ধামরাই, কালামপুর রুট হয়ে সাটুরিয়া বাসস্ট্যান্ড নেমে স্ট্যান্ড থেকে CNG করে সরাসরি বরাইদ এ জমিতে পৌঁছানো যায়।

গাবতলি থেকে সাটুরিয়া বাস ভাড়া প্রায় 75 টাকা।
সাটুরিয়া থেকে বরাইদ reserve CNG ভাড়া প্রায় ২০০ টাকা। CNG শেয়ার এ গেলে জন প্রতি প্রায় ৪৫ টাকা।",,No,,,,,80000.0,Land,417,59,Plot,Sale,,,ঢাকার মানিকগঞ্জে ৫৯ কাঠা জমি বিক্রয় হবে |,,Manikganj, Dhaka, Manikganj,Bangladesh
"Flat Size: 1140, 1000, & 960 Sft. (3 Beds, 2 Baths, Dinning, Kitchen & 2 Ver.)
Handover: Within 06 months.",,,,,3,,4000.0,Residential,422,1140,Apartment,Sale,,,"Flat sell (Near Tamirul Millat Mohila Madrasa, Hazi Badsha Mia Road, Matuai)",2,Demra, Dhaka, Dhaka-1362,Bangladesh
"ঢাকার ওয়াশপুরে ১১ কাঠা রেডি প্লট বিক্রয়।
মাত্র ১০ লাখ টাকায় প্লট মালিক হবার সুযোগ থাকছে।

ঢাকার জনবহুল আবাসিক এলাকা মোহাম্মদপুরের ২ (দুই) কিলোমিটার এর মধ্যে ওয়াশপুরে ১১ কাঠা রেডি প্লট এর শেয়ার বিক্রয় করা হচ্ছে। প্রতি শেয়ার মূল্য ১০ লক্ষ টাকা। মাত্র তিনটি শেয়ার অবশিষ্ট রয়েছে। সাফকবলা রেজিস্ট্রি মূলে প্লট এর মালিকানা হস্তান্তর নিতে পারবেন। এছাড়াও শেয়ার হোল্ডারগন নতুন নির্মাণ অপেক্ষায় প্রস্তাবিত সুউচ্চ এপার্টমেন্ট এর এক বা একাধিক ফ্ল্যাট বরাদ্দ পাবেন।

এছারাও স্বল্প দামে সম্পূর্ণ একক মালিকানায় আবাসন প্লট ক্রয় করতে চাইলে এখনই বাড়ি করার উপযোগী প্লট দেওয়া যাবে। রেজিস্ট্রেশনের সাথে সাথেই প্লটের মালিকানা বুঝে নিবেন। কোনও প্রকার বিলম্ব হস্তান্তর বা দেরিতে ডেলিভারি তারিখ নেই। প্লটের সাথেই রাস্তা ও হাউজিং এর সকল সুযোগ সুবিধা বিদ্যমান।
বিস্তারিত জানতে সরাসরি যোগাযোগ করুন।",Yes,Full Backup,Yes,Yes,17,20,1000123.0,Land,428,11,Plot,Sale,Yes,,"ঢাকার বসিলা, ওয়াশপুরে মাত্র ১০ লাখে রেডি প্লট নিন।",,Keraniganj, Dhaka, Dhaka.,Bangladesh
"Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/
.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,,Yes,3,1 ,1.0,Residential,638,875,Brand New Apartment,Rent,Yes,,Short & Long-term Serviced Apartment Rental Available In Dhaka,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"√√√ সম্পূর্ণ রেডি ফ্ল্যাট বিক্রয় √√√

ঢাকার মধ্য বাসাবো এলাকায় (খেলার মাঠের সাথে) সম্পূর্ণ নতুন বিল্ডিংয়ে বিক্রয়ের জন্য শুধুমাত্র একটি ফ্ল্যাট অবশিষ্ট রয়েছে।

*ফ্ল্যাট এর বিবরণ*

• ১৪০০ স্কয়ার ফিট + পার্কিং ১৫০ স্কয়ার ফিট

• তৃতীয় তলায় (দক্ষিণমুখী)

• তিতাস গ্যাস

যেকোনো সময় ফ্ল্যাট পরিদর্শনের জন্য অথবা দাম এবং অন্যান্য বিস্তারিত জানার জন্য কল করুন।

সম্পূর্ণ ফ্ল্যাটের ভিডিও দেখতে নিম্নের লিঙ্কে ক্লিক করুন (ফ্ল্যাটের ভিডিওটি দুই পর্বের ভিডিওতে আলাদা করে দেয়া আছে)।

https://youtube.com/channel/UCIvMHDXy3927mIWb0QJkRaA",Yes,Full Backup,,Yes,2,1 ,8600000.0,Residential,425,5,Brand New Apartment,Sale,,,1400 SQFT RESIDENTIAL FLAT FOR SALE,3,Khilgaon, Dhaka, DHAKA-1214.,Bangladesh
"Our flexible, social, air-conditioned co-working spaces in Dhaka include all the modern comforts your business needs for success, such as high-speed internet and unlimited refreshments. Our office space offers the best service and amenities to provide office space options that are tailored to the needs of your business.
.
Benefits
>Extremely Fast Internet
>Continual Refreshment
>Standard Meeting Room
>Comfortable Desk Service 
>Printing, Scanning, and Photocopying
>Lockable Storage Spaces & Drawers
>24 Hour Security, Pleasant Environment
>Completely separate Internet & Electricity Ports
.
PleaseSee more: https://www.reit.com.bd/projects/cash-flow-projects
.
Contact For Booking:
+88 01712553547
+88 01921096846",,Full Backup,,Yes,5,,1.0,Commercial,620,1700,Office Space,Rent,,,Fully Furnished Coworking Office Space Rent In Dhaka,9,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"10,000 sft commercial floor for rent in DIT Road, Rampura. The building is fully commercial establishment. Therefore all commercial facilities including elevators, generator fire exit have been kept available in the building. Rent will be given to any bank, insurance, hospital or any foreign organization and group of companies are preferable. Please call us to visit the floor.",Yes,Full Backup,,Yes,5,2 ,800000.0,Commercial,626,10000,Office Space,Rent,,,"10,000 sft Commercial Floor Rent In DIT Road, Rampura, Dhaka",4,Rampura, Dhaka, Dhaka,Bangladesh
"16,000 square feet warehouse for rent in Uttara Kamarpara. Rent per square feet BDT 22.00 which is fixed. The road in front of the shed is wide enough for trucks or lorries to come and go. There is separate space available for loading unloading.",,No,,,,3 ,352000.0,Commercial,625,16000,Warehouse,Rent,,,"Warehouse for rent in Kamarpara, Uttara",2,Uttara, Dhaka, Uttara,Bangladesh
"Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA
.
Contact For Booking:
+88 01712553547
+88 01921096842",Yes,,,Yes,6,1 ,48000.0,Residential,627,800,Service Apartment,Rent,,,Furnished Two BHK Serviced Apartment RENT.,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"With a virtual office, you will reduce expenses while still enjoying the benefits of a business office. Businesses can get a registered business address, mailing location and office-related services from a virtual office without the expense of a long rental. Employees can work virtually with a virtual office while still having access to amenities like mail, phone responding services, meeting spaces, and conferencing.
.
Benefits
> Mail Receiving & Forwarding
> No Hassle of Setting Up Office
> Paying Only For What You Need
> Get A Registered Business Address
> Call Handling & Telephone Answering
> Reduce Expenses, Workspace Service
> Teleconferencing & Videoconferencing
.
Please See more: https://www.host.com.bd/virtual-office/
.
Contact For Booking
+88 01712553547
+88 01921096846",,,,Yes,,,1.0,Commercial,621,1700,Office Space,Rent,,,Get Virtual Office Rent In Dhaka,,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"15,000 sft factory shed/warehouse for rent in Savar. There are boundary walls all around, height of the center of this shed is 35 feet and site wall is 18 feet. There are available electricity, water, loading & unloading facilities.",,Partial,,,,3 ,250000.0,Commercial,628,15000,Factory Shade,Rent,,,"15,000 sft Shed/warehouse for rent in Savar",4,Savar, Dhaka,Savar,Bangladesh
"The 30,000 square feet area surrounded by bricks wall be rented in Tejgoan, the heart of Dhaka city. It is very useful as a warehouse, depot, for any foreign company. Tejgaon is the only industrial area in Dhaka city where there are a large number of factories, warehouses and offices of corporate and foreign companies. It is very easy to deliver products to any part of the city. Moreover it can be used as an office of a foreign organization.",,No,,,,4 ,2400000.0,Commercial,631,30000,Warehouse,Rent,,,"Land with Shed for Rent In Tejgoan, Dhaka",6,Tejgaon, Dhaka, Dhaka.,Bangladesh
"17 Bigha ( 2,44,800 Sqft ) high land will be sale instantly at Sitakund, Chittagong, Dhaka Cittagong Highway & very close to  Sitakund Bus Station. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of Dhaka Cittagong Highway road & the price of each Decimal of land 3,63,636/= Taka, please call genuine buyer only.",,No,,,1,,204000000.0,Land,384,244800,Factory Land,Sale,,,"17 Bigha Land Sale in Sitakund, Chittagong",,Shitakunda, Chittagong, Chittagong,Bangladesh
"3,000 sft ready commercial office space available for sale At Gulshan Avenue Dhaka. Fully Commercial Building according to RAJUK new rules at 8th floor with 2 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 2 lifts, emergency stair case, modern fire fitting system, 100% compliance & LED Certified building . Generator 100% Power backup.

Note: Currently there are tenants on this floor & owner is getting rent  BDT 4,00,000/= per month.",Yes,Full Backup,,Yes,7,2 ,84000000.0,Commercial,387,3000,Commercial Building,Sale,Yes,,"3,000 Sqft Commercial Space For Sale At Gulshan Avenue",4,Gulshan, Dhaka,Gulshan Avenue,Bangladesh
"Project Name- RPL LR TOWER
আমাদের প্রজেক্টের বৈশিষ্ট্যসমূহ-
১।ভূমিকম্প প্রতিরোধী।
২।২৪ ঘন্টা জেনারেটরের সুবিধা।
৩।ইন্টারকম সুবিধা।
৪। ২৪ ঘন্টা লিফটের সুবিধা।
৫।ছাদের উপর সুসজ্জিত বাগানের ব্যবস্থা।
৬।প্রশস্ত নামাজের জায়গা।
৭। ২৪ ঘন্টা নিরাপত্তা ব্যবস্থা।
৮।গাড়ি পার্কিং সুবিধা।
৯।ডেস্কো বিদ্যুৎ সংযোগ।
১০।ফায়ার অ্যালার্ম সিস্টেম।
১১। নিরাপত্তার লক্ষ্যে সিসিটিভি সংযোগ।
১২।ওয়াসা পানি ও পয়ঃনিষ্কাশন সংযোগ।
১৩।অভ্যর্থনা / অপেক্ষা করার জায়গা।
১৪।আধুনিক এবং যুগোপযোগী কমিউনিটি হল।
PROJECT BRIEF :
Developer: Reon properties Ltd.
Project Name: RPL LR TOWER.
9 Storied Building (G+8)
4 Unit Each Floor
3 bed, 3 bath, 3 Balcony, Drawing, Dining & Kitchen.
Facilities:
Lift: 01 (6-8 Passenger Capacity)
Generator & Substation
Car Parking
TV Cable
Administrative support
Drive Way
Security System
Full time CCTV
Fireplace
Meeting rooms
Intercom
Electricity.
Contact Us for more Information:
Company Name: Reon Properties Ltd.
Web: www.reongroup.net/
www.reonpropertiesltd/",,Full Backup,,Yes,9,8 ,3500.0,Residential,388,1250,Apartment,Sale,Yes,,Almost Ready Apartment Sale Near Mohammadpur,3,Keraniganj, Dhaka,Dhaka-1312,Bangladesh
"7 Bigha (100,800 Sqft ) high land will be sale instantly at Galan, Dhaka City Bypass & very close to Purbachal Sector # 28. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of 24 feet road & the price of each katha of land 12,50,000 lakh Taka, please call genuine buyer only.",,No,,,1,,175000000.0,Land,386,100800,Factory Land,Sale,,,"7 Bigha Factory Land Available For Sale At Galan, Dhaka City Bypass.",,Dhaka City Bypass., Dhaka, Dhaka City Bypass,Bangladesh
"7 Bigha (93,600 Sqft ) high land will be sale instantly at Galan, Dhaka City Bypass & very close to Purbachal Sector # 28. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of 24 feet road & the price of each katha of land 12,50,000 lakh Taka, please call genuine buyer only.",,No,,,1,,33000000.0,Land,391,93600,Factory Land,Sale,,,6.5 Bigha Factory Land Available For Sale on Dhaka Chittagong Highway in Sonargoan.,,Dhaka Chittagong Highway, Dhaka,Dhaka Chittagong Highway in Sonargoan.,Bangladesh
"“সিটি হার্ট” ব্লকে আছে অল্প সংখ্যক লেক-ভিউ রেডি প্লট ।
Hotline: 01707- 444 425

উত্তরা ১০নং সেক্টরের পাশে আব্দুল্লাহপুর-আশুলিয়া মহাসড়কের কাছে চারটি ব্লক (River view, Southern,City Heart & Premium) নিয়ে ৩০০একর জমির উপর গড়ে উঠেছে এক নান্দনিক আবাসিক প্রকল্প উত্তরা প্রর্বতন সিটি।",,Full Backup,,,,,1400000.0,Land,392,3,Plot,Sale,,,উত্তরা প্রবর্তন সিটিতে বিনিয়োগ করে আপনার সন্তানের ভবিষ্যৎ সুন্দর করুন,,Uttara, Dhaka,Dhaka-1230,Bangladesh
"*Approx 4100 sft inside the apartment.
*Approx 4900 sft Including common space, lift, Stairs and two garages.",Yes,Full Backup,,Yes,4,2 ,60000000.0,Residential,390,4900,Apartment,Sale,,,Apartment for sale by owner at Mohammadpur.,6,Mohammadpur, Dhaka, Dhaka-1207.,Bangladesh
"The most modern and best planned city in the country, your investment in Purbachal will be very profitable. In this planned city of the country, a 10 katha residential plot will be sold in Sector 2, the plot is located on the side of 54 feet road , south facing, government service category. Please contact genuine buyer only.",,No,,,1,,110000000.0,Land,394,7200,Plot,Sale,,,"10 Katha's Residentaila Plot Sale In Purbachal, Sector # 7",,Purbachal New Town, Dhaka,Purbachal New Town,Bangladesh
"The most modern and best planned city in the country, your investment in Purbachal will be very profitable. In this planned city of the country, a 7.50 katha residential plot will be sold in Sector 15, the plot is located on the side of 54 feet road beside lake , south facing, government service category. Please contact genuine buyer only.",,No,,,1,,85000000.0,Land,395,5400,Plot,Sale,,,7.5 Katha Lake Side Plot Sale In Purbachal New Town,,Purbachal New Town, Dhaka,Purbachal New Town,Bangladesh
"20 Bigha single owner land will be sale at Savar -Manikganj Highway Road, Singair. The land is located 35 km away from Banani, Dhaka. There is electricity facility next to the land the land is very useful for any kind of factories, resorts and bungalows etc. The price of each bigha of land sixty lakh taka, please call genuine buyer only.",,No,,,1,,120000000.0,Land,396,288000,Open Field,Sale,,,"20 Bigha land sale at Savar -Manikganj Highway Road in Singair, Manikganj",,Manikganj, Dhaka, Dhaka Manikganaj Highway Road,Bangladesh
"12 Decimal Residential Land Bangladesh Moulvi Bazar for sale, 

Price Negotiable

Location:
SYARPUR RIASATH ULLAH ROAD MOULVIBAZAR 

For more information contact
Mr HUSSAIN ON 013055 35158",,No,,,,,0.0,Land,402,12,Plot,Sale,,,12 Decimal Land Bangladesh Moulvi Bazar,,Moulvibazar, Sylhet,SYARPUR RIASATH ULLAH ROAD MOULVIBAZAR,Bangladesh
"29 Bigha single owner land will be sale at , Jamirta, Singair Manikganj, . The land is located half km away from  Dhaleshwari Bridge. There is electricity facility next to the land the land is very useful for any kind of factories, resorts and bungalows etc. The price of each bigha of land 1.5 Crore taka, please call genuine buyer only.",,No,,,1,,430200000.0,Land,398,417600,Open Field,Sale,,,"29 Bigha land sale at Savar -Manikganj Highway Road in Jamirta, Manikganj",,Manikganj, Dhaka, Singair,Bangladesh
"3500 sft 5th floor luxury flat for rent in Diplometic Zone in Gulshan North. 4 bed room, 4 bathroom open drawing & dining area, kitchen, wooden cupboards in every bedroom and kitchen, Quiet surroundings with open & airy inside the flat. 24/7 lift, full load generator facilities etc.",,Full Backup,,Yes,5,2 ,170000.0,Residential,634,3500,Apartment,Rent,Yes,,Gulshan North 3500 sft luxury flat for rent,4,Gulshan, Dhaka,Gulshan North,Bangladesh
"With a virtual office, you will reduce expenses while still enjoying the benefits of a business office. Businesses can get a registered business address, mailing location and office-related  services from a virtual office without the expense of a long rental. Employees can work virtually with a virtual office while still having access to amenities like mail, phone responding services, meeting spaces, and conferencing.
.
Benefits
> Mail Receiving & Forwarding
> No Hassle of Setting Up Office
> Paying Only For What You Need
> Get A Registered Business Address
> Call Handling & Telephone Answering
> Reduce Expenses, Workspace Service
> Teleconferencing & Videoconferencing
.
Please See more:  https://www.ecommerce.com.bd/virtual-office/
.
Contact For Booking
+88 01712553547
+88 01921096846",Yes,Full Backup,,Yes,,,1.0,Commercial,596,1700,Office,Rent,,,Virtual Office Rent In Dhaka,,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
"4,000 sft luxurious semi furnished flat for rent in Gulshan North diplomatic area. The flat has 4 beds, 4 baths large drawing with open dining area, kitchen, 2 balconies, maid room & toilet, 2 car parking, 24/7 elevator and generator facilities, swimming pool are available in the building. Employees who working in foreign embassies or multinational companies will be hired.",Yes,,,Yes,5,2 ,250000.0,Residential,632,4000,Apartment,Rent,Yes,Yes,"Semi Furnished 4,000 Sft Flat For Rent In Gulshan North",4,Gulshan, Dhaka,Gulshan North,Bangladesh
"Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/
.
Contact For Booking:
+88 01712553547
+88 01921096842",Yes,Full Backup,,Yes,3,1 ,1.0,Residential,619,875,Apartment Office,Rent,,,2BHK  Fully Furnished Serviced Apartment Rent,2,Bashundhara Residential Area, Dhaka, Bashundhara R/A,Bangladesh
