address,amenities,available_from,balconies,bathroom,bedroom,construction_status,deposit,description,facilities_nearby,facing,floor_number,furnishing,garages,handover_date,land_area,location,monthly_rent,price_per_sqft_or_katha_or_dcml,property_for,property_name,property_size,property_type,property_url,title,total_floor,total_price,transaction_type
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Electronic Security,Servent Room",,1,2 Bath,2,,Call For Price,"
                        Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Cable TV,Guest Parking",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-24,875 sqft Apartment / Flat for Rent at Bashundhara RA,8,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"48,000.00 tk","
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,2,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,Short-term Vacation Rental Flat Available In Dhaka,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/short-term-vacation-rental-flat-available-in-dhaka,800 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
"1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"48,000.00 tk","
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,2BHK Studio Apartment Rent Available For Short-Term Rental,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/2bhk-studio-apartment-rent-available-for-short-term-rental,800 sqft Studio Apartment for Rent at Bashundhara RA,1,,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,Call For Price,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV",South Facing,6,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Two BHK Serviced Apartment RENT In Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/two-bhk-serviced-apartment-rent-in-bashundhara-ra,875 sqft Apartment / Flat for Rent at Bashundhara RA,10,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"48,000.00 tk","
                        Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,2 Bedroom Cozy Serviced Apartment Rent In Dhaka,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/2-bedroom-cozy-serviced-apartment-rent-in-dhaka,800 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
Two Room Furnished Serviced Apartment RENT in Bashundhara R/A,"Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,1 Bath,2,,Call For Price,"
                        Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,375 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-25,375 sqft Apartment / Flat for Rent at Bashundhara RA,10,,new
"Kuril, chowrasta, Dhaka","Lift,Fire exit,Self Water Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,,2,, ready ,,"
                        Luxurious Full Fairfaced Ready Commercial Space For Sale At Kuril Chowrasta.
Available Size, (2430, 2775, 2825) Sft Units.
Available On GF, 1st Floor & 6th Floor.
Marble At Ground Floor Lobby.
Heat Proof Double Layered Tempered Glass.
Full Time Security Protection Including CCTV.
12.5 Katha Land Area.
B2+B1+G+9 Storied.
Two Units Per Floor.
For Details Please, Call: 01955912064
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Hospital,Bank,School,Bus Station,Shopping Mall",West Facing,,Unfurnished,1 Park,"31 May, 2022",,"Bashundhara RA, Dhaka",,0.00 tk (Negotiable),Sale,Ranks Business Center,"2,775 sqft",Office Space,https://www.propertysalebd.com/listings/ranks-business-center,"2,775 sqft Office Space for Sale at Bashundhara RA",9,"59,375,000.00 tk (Negotiable)",new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"55,000.00 tk","
                        Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,4,Furnished,1,"December 01, 2022",,"Bashundhara RA, Dhaka","55,000.00 tk",,Rent,To Let For 2BHK Serviced Flat In Bashundhara R/A,875 sqft,Studio Apartment,https://www.propertysalebd.com/listings/to-let-for-2bhk-serviced-flat-in-bashundhara-ra,875 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",,1,2 Bath,2,,"48,000.00 tk","
                        Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,6,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,Fully Decorated 2BHK Studio Apartment Rent Available In Dhaka,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/fully-decorated-2bhk-studio-apartment-rent-available-in-dhaka,800 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line",,1,2 Bath,2,,Call For Price,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Cable TV",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-23,875 sqft Apartment / Flat for Rent at Bashundhara RA,8,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,1 Bath,2,,"55,000.00 tk","
                        Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,4,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","55,000.00 tk",,Rent,Two Bedroom 2BHK Moden Studio Flat Rent In Dhaka,875 sqft,Studio Apartment,https://www.propertysalebd.com/listings/two-bedroom-2bhk-moden-studio-flat-rent-in-dhaka,875 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
West Kafrul,"Lift,Self Water Connection,Generator,CCTV",,2,3,3, under-construction ,,"
                        Building Height-9 storied(G+8)

Per Floor-3 Unit

Sara Dream House

Building Type-Residential

Apartment sizes 1090sft

Features:

#There have 3 bed rooms,2 bathrooms,2 Varendas

#Ac provision,Fridge Provision,washing Machine Provision,generator Connection,car parking space,24/7 days security system

#provide high quality lift

#Construction follow BNBC Rules

#Customize  facility are Available

#loan facility

#generetor service

#Installment facility are Available
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Unfurnished,1 Park,"30 December, 2025",,"Kafrul, Dhaka",,0.00 tk (Negotiable),Sale,Sara Dream House,"1,270 sqft",Flat / Apartment,https://www.propertysalebd.com/listings/sara-dream-house,"1,270 sqft Flat / Apartment for Sale at Kafrul",9,"7,585,000.00 tk (Negotiable)",new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,"55,000.00 tk","
                        Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","55,000.00 tk",,Rent,Luxurious Short-term Two Bedroom Flat Rentals In Dhaka,875 sqft,Studio Apartment,https://www.propertysalebd.com/listings/luxurious-short-term-two-bedroom-flat-rentals-in-dhaka,875 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",01.10.2022,,,, ready ,"55,000.00 tk","
                        Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Guest Parking,Hospital,Bank,ATM,School,Bus Station,Shopping Mall", South Facing ,,,,,,"Bashundhara RA, Dhaka","55,000.00 tk",,Rent,2 Bedroom Single Flats With Cozy Interior For Rent In Dhaka,875 sqft,Residential Plot,https://www.propertysalebd.com/listings/2-bedroom-single-flats-with-cozy-interior-for-rent-in-dhaka,875 sqft Residential Plot for Rent at Bashundhara RA,,,
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",,1,2 Bath,2,,"55,000.00 tk","
                        Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity,Cable TV,Hospital,Bank,ATM,School,Bus Station,Shopping Mall",South Facing,4,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","55,000.00 tk",,Rent,To Let For Short-term 2BHK Studio Flat Rent In Dhaka,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/to-let-for-short-term-2bhk-studio-flat-rent-in-dhaka,875 sqft Apartment / Flat for Rent at Bashundhara RA,7,,new
"Singhair Road, Toll Plaza, Dholla Bridge, Tetoljhora, Hemayetpur, Savar, Dhaka","Mosque/Prayer Room,Fire exit,Self Water Connection,Servent Room",,,3 Bath,,,Call For Price,"
                        16,000 Square Foot commercial warehouse for rent
Semi Ready warehouse ready for rent under construction
Height 23feet from the ground
Availability of 40Kilo Watt Electric line ready to use
Whole ceiling insulated
Heavy Built structured
Space for moving 40 feet lorry truck
Easy access to main road
Local amenities like hospital, grocery, photocopy shops all beside
Price 28tk per sq ft(negotiable)
AS Mridha Commercial Complex
20min Drive from Banani and Gulshan
Singhair Road, Toll Plaza, Dholla Bridge, Tetoljhora, Hemayetpur, Savar, Dhaka
Google Map Location- Q7X2+PWC
                    ","Security,Wasa Connection,Electricity,Guest Parking,Hospital,Bank,ATM,School,Bus Station",South Facing,1,Furnished,5+,"March 01, 2023",,"Savar, Dhaka",Call For Price,,Rent,AS Mridha Commercial,"16,000 sqft",Warehouse,https://www.propertysalebd.com/listings/as-mridha-commercial,"16,000 sqft Warehouse for Rent at Savar",1,,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security,Servent Room",,1,2 Bath,2,,Call For Price,"
                        Two Room Furnished Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals with Kitchen, TV, Refrigerator, WiFi, Microwave oven,  A/C.
. 
Facilities Available : 
> Grocery Shop, BBQ corner
> Swimming Pool,Theatre room
> Gym with 24/7 and Jogging track 
> Daily Room & Bathroom Cleaning 
> Multi-purpose Hall Room With Full AC 
> Steam Bath, Thermal massager
> Landscape With Sitting Arrangement
. 
Website: https://www.hotels.com.bd/two-room 
YouTube: https://www.youtube.com/watch?v=b_dWFqx8jKk
. 
Contact For Booking: 
+88 01712553547 
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Inter com,Wifi Connectivity",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-27,875 sqft Apartment / Flat for Rent at Bashundhara RA,8,,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator",,0,1 Bath,2,,Call For Price,"
                        Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Youtube:
1.https://www.youtube.com/watch?v=yp440KIPCvc
2.https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096842
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Cable TV",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-29,875 sqft Apartment / Flat for Rent at Bashundhara RA,8,,new
"JCX TOWER,1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line",,1,2 Bath,2,,Call For Price,"
                        Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All  the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/rental/apartment-furnished
YouTube: https://www.youtube.com/watch?v=8kJKBg9LRkM&t=2s
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity",South Facing,4,Furnished,1,"March 01, 2023",,"Bashundhara RA, Dhaka",Call For Price,,Rent,Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A.,875 sqft,Apartment / Flat,https://www.propertysalebd.com/listings/fully-furnished-two-bedroom-serviced-apartment-rent-in-bashundhara-ra-28,875 sqft Apartment / Flat for Rent at Bashundhara RA,8,,new
"JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Mosque/Prayer Room,Lift,Fire exit,Self Water Connection,Gas Connection,Generator,Telephone line,CCTV,Security Alarm System,Electronic Security",,1,2 Bath,2,,"48,000.00 tk","
                        Tonima Islam
2 h  ·
Furnished 2BHK Serviced Apartment RENT In Bashundhara
Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
YouTube
1. https://www.youtube.com/watch?v=yp440KIPCvc
2. https://www.youtube.com/watch?v=xB_m6tVSiok
.
Contact For Booking:
+88 01712553547
+88 01921096846
                    ","Security,Wasa Connection,Hot water and heating,Electricity,Wifi Connectivity,Cable TV,Hospital,Bank,ATM,School,Bus Station",South Facing,4,Furnished,1,"October 01, 2022",,"Bashundhara RA, Dhaka","48,000.00 tk",,Rent,Short-Term Studio Or Serviced Apartments For Rent In Dhaka,800 sqft,Studio Apartment,https://www.propertysalebd.com/listings/short-term-studio-or-serviced-apartments-for-rent-in-dhaka,800 sqft Studio Apartment for Rent at Bashundhara RA,7,,new
"Ashulia Model Town, Dattapara Road, Birulia 1216, Bangladesh",Mosque/Prayer Room,,,,, ready ,,"
                        আশুলিয়ায় জমি বিক্রয়
ঢাকার সাভার থানা এলাকায় বড় কাঁকর মৌজায়, আমিন মোহাম্মদ ফাউন্ডেশন এর আশুলিয়া মডেল টাউন  প্রকল্পে, D এক্সটেনশন ব্লকে, এগারো রোডে দুইটি পাঁচ কাঠার প্লট বিক্রয় হবে। 
অরিজিনাল উঁচু লাল মাটি, পাইলিং এর প্রয়োজন হবেনা।  ভেজাল মুক্ত জমি। নিকটে মসজিদ আছে।  
কেবল প্রকৃত আগ্রহী ক্রেতা গণ যোগাযোগ করুন
মোবাইল নম্বর - 01772063476
                    ",Security,South Facing,,,,"October 09, 2022",,"Savar, Dhaka",,Call For Price,Sale,আশুলিয়ায় জমি বিক্রয়,10 katha,Residential Land,https://www.propertysalebd.com/listings/-18,10 katha Residential Land for Sale at Savar,,Call For Price,
