address,amenities,basic_info,description,price_negotiable,price_per_month,property_url,purpose,title,type
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  Paka Mosque More, Janta Road ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '4', 'Size': 'SqFt', 'PropertyID': '31028'}","১ রুমের সাবলেট ভাড়া হবে। , ★রুমের সাথে বারান্দা এবং টয়লেট আছে(এটাস্ট) , ★লিফট আছে।, ★২৪ ঘন্টা সিকিউরিটি। , ★ভবনে নামাজের ব্যবস্থা আছে। , ★ওয়াইফাই ফ্রি।, ★সিসি ক্যামেরা রয়েছে।, ★কম্পিউটার/পড়ার টেবিল, চেয়ার ফ্রি পাবেন ব্যবহার করার জন্য। , ★ইলেকট্রনিক ফিল্টার এর পানির ব্যবস্থা আছে। , ★ফ্রি বাইক/সাইকেল পার্কিংয়ের ব্যবস্থা আছে। , ★পানির বিল ফ্রি , ★ময়লা ফেলানোর বিল ফ্রি।, , শুধু মাত্র বাসার ভাড়া, সার্ভিস চার্জ, বিদ্যুৎ বিল দিতে হবে। , , ভাড়াঃ ৬০০০ টাকা + ৬০০ টাকা সার্ভিস চার্জ। , সিলিন্ডার গ্যাস ব্যবহার করতে হবে। , , ★লোকেশনঃ ৬০ ফিট রোড, পাকা মসজিদ, জনতা রোড (Mirpur-2,pirerbagh) এর ভিতরে ১০ তালা ফ্লাট এর ৪ তলা এটি★, , সামনের মাস থেকেই উঠতে পারবেন।, , যা যা প্রয়োজনঃ , ১/ ১ মাস এডভান্স এবং রানিং মাসের ভাড়া দিয়ে দিতে হবে।, ২/ ভোটার আইডি কার্ড এবং ১ কপি ছবি দিতে হবে। , , ফ্লাট এ থাকতে হলে কিছু নিয়ম-শৃঙ্খলা মানতে হবেঃ , ১. উচ্চস্বরে গান বাজানো যাবে না। , ২. সবসময় পরিষ্কার-পরিচ্ছন্নতার সাথে রুম থাকতে হবে।, ৩. রাত ১১ঃ৩০ এর পরে ফ্লাটে প্রবেশ করা যাবে না। (মাঝে মাঝে দেরি হলে সমস্যা নেই)  ",No,6600.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31028/sublet-room-tolet-from-may,Tolet,Sublet Room Tolet From May ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, ",,"{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '2', 'Size': '800SqFt', 'PropertyID': '31027'}","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C., ., Facilities Available, >Fully Furnished Apartment, >Security & Laundry Service, >Filter, Washing Machine, LP Gas, >Drawing, Dining Space Available, >Daily Room & Bathroom Cleaning, >WiFi, Microwave oven, Geyser, A/C, >Short-Term Rentals, TV, Refrigerator,  , ., Website:  https://www.hotels.com.bd/rental/2-bedroom-furnished, YouTube: https://www.youtube.com/watch?v=yp440KIPCvc,  , ., Contact For Booking:, +88 01712553547, +88 01921096846  ",No,47999.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31027/family-house-tolet-from-april,Tolet,Family House Tolet From May ,Family House
" Sector No :  PALTON  ,  Road No :  VIP ROAD  ,  House No :  25  ,  Area Name :    Paltan  ,  District Name :   Dhaka  Sector No :  PALTON  ,  Road No :  VIP ROAD  ,  House No :  25  ,  Area Name :    Paltan  ,  District Name :   Dhaka  ,  Short Address :  NIRIBILI 25 PURANA PALTON LINE, DHAKA ",,"{'Bedrooms': '4', 'Bathrooms': '3', 'Belcony': '2', 'Floor': '3', 'Size': '1200SqFt', 'PropertyID': '31026'}","ITS ABOUT 1200 SFT FLAT, SOUTH FACING, 3RD FLOOR FLAT., 4 BIG ROOMS WITH ATTACHED 3 BATHROOMS. KITCHEN WITH 2 LONG AND WIDE VERANDAS. , WATER, GAS, ELECTRICITY ALL ARE METERED. AVAILABLE DEEP TUBEWELL WATER., SURROUNDING CCTV COVERAGE., AVAILABLE TRANSPORTATION SYSTEM. ,  ,    ",Yes,28000.00/- BDT ,https://www.thetolet.com/en/dhaka/paltan/31026/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  জেসিএক্স টাওয়ার, ১১৩৬/এ,লেভেল ৫, বসুন্ধরা ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '31025'}","বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।, , , , , , সুযোগ সুবিধা:>ওয়াইফাই, টিভি>সুইমিংপুল, এসি, জিম>থিয়েটার & সিকিউরিটি>লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস>গ্রোসারি শপ &কেবিনেট কিচেন>রেফ্রিজারেটর & মাইক্রোওয়েভ, ২ রুম ফ্ল্যাটের জন্য ক্লিক করুন:>https://www.hotels.com.bd/two-room>https://www.youtube.com/watch?v=b_dWFqx8jKkবুকিং এর জন্য যোগাযোগ করুনঃ০১৭১২-৫৫৩৫৪৭০১৯২১০৯৬৮৪৬, , , , ,  ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31025/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :  24, Sp Road.  ,  House No :  407/1A, Dakshin Paik  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  Sector No :   ,  Road No :  24, Sp Road.  ,  House No :  407/1A, Dakshin Paik  ,  Area Name :    60 Feet Road  ,  District Name :   Dhaka  ,  Short Address :  SP Road ","Garage,CCTV,Gas,Wifi","{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '2', 'Size': 'BigroomandVarandaSqFt', 'PropertyID': '31024'}",,No,8000.00/- BDT ,https://www.thetolet.com/en/dhaka/60-feet-road/31024/sublet-room-tolet-from-june,Tolet,Sublet Room Tolet From June ,Sublet Room
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, ",,"{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '2', 'Size': '800SqFt', 'PropertyID': '31009'}","Furnished 2BHK Serviced Apartment RENT In Bashundhara, Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C., ., Facilities Available, >Fully Furnished Apartment, >Security & Laundry Service, >Filter, Washing Machine, LP Gas, >Drawing, Dining Space Available, >Daily Room & Bathroom Cleaning, >WiFi, Microwave oven, Geyser, A/C, >Short-Term Rentals, TV, Refrigerator, ., YouTube, 1. https://www.hotels.com.bd/rental/apartment-two-bedroom, 2. https://www.youtube.com/watch?v=xB_m6tVSiok, Contact For Booking:, +88 01712553547, +88 01921096846, ,    ",No,48000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/31009/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :  West Mollertek (Near  ,  Road No :  2/B  ,  House No :  249/55  ,  Area Name :    Daskhinkhan  ,  District Name :   Dhaka  ,   Sector No :  West Mollertek (Near  ,  Road No :  2/B  ,  House No :  249/55  ,  Area Name :    Daskhinkhan  ,  District Name :   Dhaka  ,   ,  Short Address :  Artistic Sarker Empire, House # 249/55, West Mollertek ",,"{'Bedrooms': '3', 'Bathrooms': '3', 'Belcony': '2', 'Floor': '7', 'Size': '1250SqFt', 'PropertyID': '31001'}","South Facing , 3 Beds, 3 Baths, 2 Baranda, 1 Drawing, 1 Dinning, 1 Kitchen, Gas, Electricity, Lift, Generator, Parking Available, House Rent: 20,000/- Monthly, Service Charges: 3,500/- Monthly (including water bill), Utility Bill: Gas (Titas) & Electricity (Desco) has to pay by tenant as per usages. , Parking: 3,000/- Monthly, Advance: 60,000/-  ",No,20000.00/- BDT ,https://www.thetolet.com/en/dhaka/daskhinkhan/31001/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :  6  ,  House No :  207  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :  6  ,  House No :  207  ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  Block D, House 207 ",,"{'Bedrooms': '3', 'Bathrooms': '4', 'Belcony': '2', 'Floor': '5', 'Size': '2000SqFt', 'PropertyID': '30980'}","*** We committed to provide Excellent Service,  , in Rental Apartment Living Experience to You.***, 2000sft Exclusive South facing Apartment for Rent at Bashundhara R/A., 3 Bed room with 2 attached toilet 1 common toilet, servant room with attached toilet. Provide hot and cold water line in all toilet., Large Drawing, dining, family living space., Kitchen with kitchen cabinet and kitchen hood., 2 large size south facing balcony ., Provide A/C connection line in all room., Attached mosquito net in all window., 8 passengers  lift. , All power included generator., Gardening, community space and Cloth dying area in rooftop., Separate Parking, fire extinguisher, Intercom., 24 hours security with CC camera., , Pls Feel Free Contact With us for your Better Living Experience  ,    ",No,50000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30980/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :  4  ,  House No :  7  ,   Area Name :    Adabor  ,  District Name :   Dhaka  Sector No :   ,  Road No :  4  ,  House No :  7  ,   Area Name :    Adabor  ,  District Name :   Dhaka  ,  Short Address :  Adabor, Monsurabad Housing ","CCTV,Gas","{'Bedrooms': '3', 'Bathrooms': '2', 'Belcony': '2', 'Floor': '5', 'Size': '1000SqFt', 'PropertyID': '30973'}","আদাবর মোহাম্মদপুরে বাসা ভাড়া।, , ১। ৩ বেড, ২ বাথ, ড্রয়িং ডাইনিং। , ২। কিচেন ও ২ বারান্দা। , ৩। তিতাস গ্যাস, লিফট নেই। , ৪। ফ্যামিলি অথবা চাকরিজীবী ব্যাচেলার।, ৫। ফ্ল্যাট ভাড়া - ১৫০০০/=, ৬। পানি + গ্যাস (ভাড়ার সাথে অন্তর্ভুক্ত)।, ৬। কোন সার্ভিস চার্জ নেই।, ৭। সার্বক্ষণিক গ্যাস পানি বিদ্যুৎ।, ৮। ৯৫০ স্কয়ার ফিট। বিদ্যুৎ বিল আলাদা।, , যোগাযোগ-০১৬৭৬১৩৯৫৭৪., ঠিকানা : বাসার ৭, রোড ১২/বি।, মনসুরাবাদ হাউসিং। আদাবর ঢাকা।  ",No,15000.00/- BDT ,https://www.thetolet.com/en/dhaka/adabor/30973/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :   ,   House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,   House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, ",,"{'Bedrooms': '1', 'Bathrooms': '1', 'Belcony': '1', 'Floor': '4', 'Size': '375SqFt', 'PropertyID': '30965'}","বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় । . সুযোগ সুবিধা: >ওয়াইফাই, টিভি >সুইমিংপুল, এসি, জিম >থিয়েটার & সিকিউরিটি >লন্ড্রি & ডেইলি ক্লিনিং সার্ভিস >গ্রোসারি শপ &কেবিনেট কিচেন >রেফ্রিজারেটর & মাইক্রোওয়েভ . ২ রুম ফ্ল্যাটের জন্য ক্লিক করুন: >https://www.hotels.com.bd/two-room >https://www.youtube.com/watch?v=b_dWFqx8jKk . বুকিং এর জন্য যোগাযোগ করুনঃ ০১৭১২-৫৫৩৫৪৭ ০১৯২১০৯৬৮৪৬  ",No,36000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30965/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
" Sector No :   ,  Road No :   ,  House No :  115  ,  Area Name :    Netrakona Sadar Upazilla  ,  District Name :   Netrokona  Sector No :   ,  Road No :   ,  House No :  115  ,  Area Name :    Netrakona Sadar Upazilla  ,  District Name :   Netrokona  ,   Short Address :  Nagra Tnt Office ",,"{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '1', 'Size': '20SqFt', 'PropertyID': '30958'}","#Approved please , ৩ রুম বিশিষ্ট ফ্ল্যাট বাসা ভাড়া দেওয়া হবে(ফ্যামিলি) , ঠিকানা :মাইক্রোস্ট্যান্ড/টি এন টি অফিস সংলগ্ন নাগড়া। ভাড়া=৬৭০০ টাকা(আলোচনা সাপেক্ষে), নিতে ইচ্ছুক হলে সরাসরি যোগাযোগ করুন , 01310501999, 2 বেড+১ ড্রইংরুম+ ২বাথরুম+১ বারান্দা , #সিলিন্ডার ব্যবহার করতে হবে।, #নিচে গাড়ি রাখার ব্যবস্থা আছে।, #বিদ্যুৎওপানির সুব্যবস্থা আছে।  ",No,7000.00/- BDT ,https://www.thetolet.com/en/netrokona/netrakona-sadar-upazilla/30958/family-house-tolet-from-may,Tolet,Family House Tolet From May ,Family House
" Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  Sector No :   ,  Road No :   ,  House No :   ,  Area Name :    Bashundhara R.A  ,  District Name :   Dhaka  ,  Short Address :  জেসিক্স, বিসনেস টাওয়ার, জাপানি স্ট্রিট, বসুন্ধরা আ "," Lift Service,Garage,CCTV,Gas,Wifi,Fire Alarm","{'Bedrooms': '2', 'Bathrooms': '2', 'Belcony': '1', 'Floor': '1', 'Size': '800SqFt', 'PropertyID': '30947'}","বসুন্ধরা আর/এ তে ২ বেডরুম (সুসজ্জিত ) সার্ভিসড অ্যাপার্টমেন্ট ভাড়া দেওয়া হবে। রান্নাঘর, টিভি, রেফ্রিজারেটর, ওয়াইফাই, মাইক্রোওয়েভ ওভেন, এ/সি সহ শর্ট-টার্ম রেন্টাল দেওয়া হয় ।.সুযোগ সুবিধা:>টিভি, রেফ্রিজারেটর, এ/সি>নিরাপত্তা এবং লন্ড্রি সার্ভিস>প্রতিদিন রুম এবং বাথরুম পরিষ্কার>ফিল্টার, ওয়াশিং মেশিন, এলপি গ্যাস>ওয়াইফাই, মাইক্রোওয়েভ ওভেন, গিজার., ২ বেডরুমের জন্য ক্লিক করুন:>https://www.hotels.com.bd/rental/apartment-two-bedroom>https://www.youtube.com/watch?v=xB_m6tVSiok., , বুকিং এর জন্য যোগাযোগ করুনঃ০১৭১২-৫৫৩৫৪৭০১৯২১০৯৬৮৪৬  ",No,48000.00/- BDT ,https://www.thetolet.com/en/dhaka/bashundhara-r-a/30947/family-house-tolet-from-april,Tolet,Family House Tolet From April ,Family House
