Location,num_bath_rooms,num_bed_rooms,area,property_description,building_type,property_type,price,AD URL,City,Area,Address,Cable TV-amenity,Microwave-amenity,Grill-amenity,Pool-amenity,Dishwasher-amenity,null-amenity,Air conditioning-amenity,Computer-amenity,Parking-amenity,Internet-amenity,Heating-amenity,Balcony-amenity,Lift-amenity
 Dhaka ,3.0,3.0,1638.0,"Please Contact the number below for further information.bddl Properties Ltd.0175551101901755511015 An exclusive Condominium project of bddl properties ltd.Project Name: bddl Gold PlaceProject address: Just behind Taltola super market, Riazbagh, Road no 6, Khilgoan orWasa road ,(connecting DIT road )Dhaka.bddl GOLD PALACE projects shall be treated as a sole apartment complex consisting of 05 (five) buildings fencing one boundary wall around the whole complex. All common facilities of the said apartment complex shall be attributed upon the each and every flat owner.Project surrounding facilities: Taltola super market, Khilgaon Thana, National ideal, Pollima Shangsod, South point & Faizur Rahman Ideal school & college, Better life, Khidma & Hikma hospital, many Banks branch, food code, Short distance to Hatirjheel & Bonoshree.Apartment contains: 3 bedroom, 3 bathroom, 3 verandah, living, dining, kitchen, modern fittings, intercom, every bedrooms are cross ventilation facilities, have a void between other apt.bddl Condominium project common facilities:-Three minutes Walking distance from Taltola super market.Total land 90 katha, almost 45 % open area.Parking: basement + ground floor.Three entry & exit road with get.10 Storied 5 nos building.Every building are 2-Lift, 2 stair.All building are south face.5- Unit each floor.All apt. 3 side open.2 nos playground.Double height entry.Indoor games zone.C.C TV monitoring.Sufficient Void space.Swimming pool.Community hall.Deep tub wellPrayer room.Solar panel.Loan facility’s.Library.Kids zone.Walkway.Green area.Handover: December 2024NOW IS THE BEST TIME TO INVEST IN REAL ESRATEDue to worldwide economic trends, inflation is set to increase next year, according to ADB.Real estate is less affected by inflation versus other investment, and offers maximum returnSingle digit interest rate for home loans and easy approval.Trend of rising prices in the real estate market due to rising demand.We request you to visit our project first and then decide if you like or not. Please call, E-or text us for any kinds of help & Information.Thanks.Hasem ali sardarSr. Manager (Mkt) Head Office :bddl Properties Ltd.House-39/A, Road -27(Old) Dhanmondi,(Just behind Shwapno outlet), Dhaka-1205",Sale,Residential,10647000.0,https://www.estatemartbd.com/property/62/en/green_condominium_bddl_apartment_with_swimming_pool_at_khilgaon,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1350.0,"Please Contact the number below for further information.Kothabari Builders Ltd.0160876735101608767352016087673530160876735401608767355 ????প্রকল্পের নামঃ- কোঠাবাড়ী কানন প্যালেস➡️ প্রকল্পের ঠিকানাঃ- বাসা ৭৮৯, রাস্তা- ০২, ইস্ট মেরুল বাড্ডা, ঢাকা ১২১২➡️ মেরুল বাড্ডা বাস স্ট্যান্ড (নিমতলি রোড) থেকে ২/৩ মিনিটের পায় হাটার রাস্তা।➡️ উচ্চতাঃ- নীচ তলা গাড়ি পার্কিং সহ ৯ তলা বিশিষ্ট ভবন।➡️ উত্তর পূর্ব কর্নার মুখি ভবন➡️ নির্মাণাধীন➡️ ওয়াসা,ডেসকো, আধুনিক গ্যাস লাইন ‌সিস্টেম, লিফট সহ ২৪ ঘন্টা জেনারেটরের সুব্যবস্থা থাকবে।➡️ বাসার সামনে ২৫ ফিটের রাস্তা।➡️ প্রতি ফ্লোরে ২ টা করে ইউনিট ।➡️ ইউনিট A= ১৩৫০ বর্গফুট (প্রতি বর্গফুট ৪,৮০০ টাকা )➡️ ইউনিট A= ১৩৫০ বর্গফুটে থাকছে ৩ রুম, ৩ বারান্দা, ৩ বাথরুম, ড্রয়িং + ড্রাইনিং।➡️ ইউটিলিটি ২ লক্ষ টাকা➡️ গাড়ি পার্কিং ৪ লক্ষ টাকা",Sale,Residential,6480000.0,https://www.estatemartbd.com/property/64/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,4.0,3.0,1666.0,"Please Contact the number below for further information:Navana Real Estate Limited.01730150381 Type of Project: CondominiumName of the Project: NAVANA Urban DaleAddress: Plot- 1/5, Block- D, Section- 15, Mirpur, DhakaLand Area: 9 bighasNumber of Building: 5 nosBuilding Storied: Basement + Ground Floor + 13 StoriedLift: 3 Lift (capacity 8-10 person) European Standard including Cargo LiftGenerator: Stand by generator (Super silent European standard)Car Parking: AvailablePresent Status: Ongoing / Semi ReadyIndoor facilities:• 3 Beds, 4 Toilet, 3 Balcony, Living Room, Dining Room, Kitchen, & etc.Condominium Facilities-•Playground,•Mosque,•Swimming Pool,•Jogging Track,•Community Space,•Indore Games,•Gymnasium,•Ladies Corner,•Medical Corner,•Laundry Shop,•Super Shop,•Day Care Center,•School•24 Hours CCTV surveillance with Wi-Fi system.",Sale,Commercial,10829000.0,https://www.estatemartbd.com/property/185/en/apartment_with_paly_ground_gym_swimming_pool_at_mirpur,Dhaka,,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1400.0,"Please Contact the number below for further information. Nazrul0168109201301815318740 Building: 10 StoriedFloor: 3, 5, 6, 7, 8Lift: 2 Nos.Flat Size: 1400 SFT (Total)3 Beds, 1 Drawing, 1 Dining, 1 kitchen, 3 Wash Rooms and 2 Big Balconies.-------------------Location:Sekhertek, Adabor, Mohammadpur, Dhaka.",Sale,Residential,6500000.0,https://www.estatemartbd.com/property/67/en/1400_sqft_almost_ready_flat_for_sale_in_mohammadpur,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
" Lalbag, Dhaka ",5.0,5.0,2080.0,"Please Contact the number below for further information:A.K. Developments Ltd.0170852080701708520805 If you are waiting to be one of the gainful property gainers, we got a place to offer you in, known as one of the welcoming suburban zones of Dhaka. In case of any issues that might arise which need attention, communication systems are there to ensure effective addressing of such issues. This exquisite building covers a very homey entrance to take you to this apartment that you can see in our enlisted images. The apartment has got large windows and balconies to replenish some happy time with your family Project at a Glance:Project Name: Ahbab TowerProject : 35/1, Shahidnagar, Lalbagh,Dhaka-1211.Plot Size : 12 Katha.Number of Storied : B+G+9 StoriedType of Building : Fully Residential.Apartment Size : 2080, SFT.Project Status : On Going.Facilities:* 5 Bed.* 5 Bathroom.* 3 Veranda.* Family Living.* Dining.* Kitchen.* 2 Nos.High Speed Lift.* Green Environment.* Best Architecture.* Standby Generator.* PABX Connection.* Solar Panel.* Receiption.* Guard Room.* Driver Waiting Room.* Plantation.* Community Space.* Prayers Room* Cloth Drying Area at Roof Top.* Decorative Main Gate.* Installment Facility.* As well as all common facilities.*Call for Visit project & more information....",Sale,Residential,9776000.0,https://www.estatemartbd.com/property/195/en/2080_sqft_5_bed_and_5_bath_duplex_flat_for_sale_at_lalbag_dhaka,Dhaka,, Lalbag,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
" Bashundhara, Dhaka ",3.0,4.0,2360.0,"Please Contact the number below for further information:IMAGINE PROPERTIES LIMITED.01939919801 Project Name : IMAGINE EASTWOODAddress : Plot- 216 & 217, Road- 03, Block- B, Bashundhara R/A.Size : 2360 SFT, Available unit (2nd floor)Land : 15 KathaFacing : North-westBuilding Height : B+G+8Total Units : 22 no’sParking : 31 no’sHandover : Ready Apartment inside:3 Bedrooms;2 Living Rooms;4 Bathrooms;Dressing Area;6 A/C Provision;2 Fridge Provision;1 Car parking spaces;Water purification device in kitchen;Washing Machine Provision;Maid Rooms & Bathrooms;19 unit’s emergency generator backup. Safety & Security: Common areas surveillance under CCTV. Firefighting equipment available in common area. Lighting of common area supported by solar energy & generator. Common Key Features: 50% open space. Lavish community hall. GYM; Indoor playing room. Decorative guest room and all common area. Gardens on suitable location. Water fountain in ground floor. Spaces lobby and driveway. Driver’s waiting room with other facility. 2 Lifts (1 unit 16 Passengers & 1 unit 8 Passengers).",Sale,Residential,22420000.0,https://www.estatemartbd.com/property/186/en/ready_flat_for_sale_at_bashundhara_block_b,Dhaka,, Bashundhara,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes
 Dhaka ,4.0,3.0,1706.0,"Please Contact the number below for further information:Enosis Development Ltd.0191185931401819161556 Address : Plot 158 & 158/1, Wapda Road, Hatirjheel, Dhaka.Land Area : 10.33 KathasOrientation of the Land : North – East Facing.Front Road : 20’-0” Feet wideNumber of floors : G + 9Number of Apartments : 36 UnitsSize of Units : A- 1706 sqftNumber of Basement : 1 BasementsCar Parking : Available. Main Features & Amenities For Apartment:Fire safety system.Fully equipped gymnasium.Multi-purpose party room.2nos lift with 1 stretcher lift.Hammam (Dead body bath zone)Elegant reception and waiting lounge.Professionally designed landscaping.Outdoor activity zone.Guest parking and separate car washing zone.Management office with wash room.Stuff rest room.Children's play area at roof (Fully Equipped).Roof top wide walk way/ jogging track.Roof top garden & fountain.Rooftop BBQ zone and kitchen for party arrangement.Driver rest room.Kitchen and bed room for stuff.Designated cloth drying space at top roof.",Sale,Residential,8871200.0,https://www.estatemartbd.com/property/189/en/1706_sqft_luxurious_apartment_for_sale_hatirjheel_rampura,Dhaka,,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
 Dhaka ,2.0,2.0,910.0,"Please Contact the number below for further information. Azgar01870104211 ঢাকার প্রাণকেন্দ্র বাড্ডায় সকল ইউটিলিটি সংযোগসহ+১টি পার্কিং স্পেস সহ+ সম্পূর্ণ রেডি ফ্ল্যাট বিক্রয় হবে।বেড রুমঃ ২টিবাথরুমঃ ২টিবারান্দাঃ ১টিকিচেনঃ ১টিড্রইং+ ডাইনিং স্পেস১টি পার্কিং স্পেস।লিফট, পাওয়ার স্টেশন (সার্বক্ষনিক জেনারেটর সুবিধা, ২য় তলায় কমিউনিটি সেন্টার ব্যবহারের সুবিধা, সি সি ক্যামেরার মাধ্যমে সার্বক্ষনিক নিরাপত্তা ব্যবস্থা, গ্যাস, সাবমার্জিবল (নিজস্ব ডিপ ওয়াটার সাপ্লাই) ২৪ ঘন্টা পানি সরবরাহ, বিদ্যুৎ সংযোগ ও অন্যান্য সকল সুবিধা সহ ফ্লাটটি জরুরি ভিত্তিতে বিক্রয় করা হবে। আগ্রহীদের সরাসরি মালিকপক্ষগণের সংগে যোগাযোগ করার জন্য অনুরোধ করা গেল।",Sale,Residential,3500000.0,https://www.estatemartbd.com/property/71/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1240.0,"Please Contact the number below for further information:Artistic Properties Limited.01306982102 Ready Flat Sale @ West MollartakKazi office,Jalal soroni roadBaitun Najat mosjid nearDakshinkhanBeside uttara sector-4 Road-2/B BorttolaKosaibari Rail GateNear Rajlokki Market and Josim Uddin Road UttaraBuilding: 10 Storied,Land Area –10.50 Khata,3 Beds, 3 Bath, 3 Verandas, Living, Dining, Kitchen etc.Ground floor: Car parking,1st Floor to 9th Floor: Flat,Total Flat: 36 No’s,Lift: 2 No’s,Stair 1 No’sPer Floor: 04 Units,Hi Class fittings & TilesFacing: North West faceWork stage: 70% ready flatHandover Date March-2022100% Rajuk ApprovedWater-SubmersibleElectricity,30% Solar panel,Gas/LPGGenerator,Community hall,Prayer room,Please call real buyer,",Sale,Residential,5580000.0,https://www.estatemartbd.com/property/188/en/1240_sqft_ready_flat_for_sale_near_airport,Dhaka,,,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,Yes
" Purbachal, Dhaka ",3.0,3.0,1645.0,"Please Contact the number below for further information:Richmond Developers Ltd.01730372642 Project Name: Richmond Shaheens DreamProject Status: OngoingLocation: Plot No:315,316 & 317, Road # 10, Block #D, Bashundhara R/AHeight : (G+9) 10 Storied BuildingFacing: SouthFlat Size: 1645 sft.Unit: Four Unit per floorLand Area : 15Katha,3 Bed, 3 Bath, 4Verandah, Living, Dining, Kitchen & other facilitiesHand Over: December 2022Ground Floor Reception, Driver waiting room, Guard Room In the Ground Floor.Bank Loan facility AvailableFirst, visit then make your decision.Corporate Office: Delta Dahlia (Level-4),36 kamal Ataturk Avenue,Banani, Dhaka-1213, BangladeshSome Information about Richmond Developers Ltd.# Established in 2009# REHAB membership No: 1120# RAJUK Enlisted No:457# National Housing Authority Membership No: 052# Core Value is satisfied with every customerPlease feel free to contact for further information as required.With Best RegardsM.A. SagarDeputy General Manager(Sales & Marketing)",Sale,Residential,12337500.0,https://www.estatemartbd.com/property/196/en/luxury_1645_sft_flat_for_sale_at_near_to_nsu_iub_of_bashundhara,Dhaka,Purbachal,,No,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes
 Dhaka ,4.0,3.0,1506.0,"Please Contact the number below for further information:Navana Real Estate Ltd.01708466467 Near to Milestone School, Dhaka Residential Model College, Mohammadpur Preparatory School and Saint Joseph School.• Only 5 minutes from Mohammadpur Bus Stand, 3 Minutes from Japan Garden City, 5 Minutes from Care Medical College & Hospital, AL-MANAR Hospital Ltd, Only 6 Minutes from Prime Minister Bhaban.• Multiple Entrance and Exit point.• Natural greenness & Eco-friendly environment.• 52% Open Space. Own Sub-Station, Modern Fire Fighting System.• Internal Road- 60’ road with traffic control walkway.• Highly Professional City planner, Designer & Architect team.• Highly Professional Sales-Marketing & Service team.• Facilities- Playground, Mosque, Swimming Pool, Basket Ball Court, Jogging Track, Community Hall, Indore Games, Gymnasium.• Administrative office, Traffic system, Fire Service & CCTV surveillance with Wi-Fi system.• Super market, shop, Kacha bazaar Near By project.We would expect you to experience our true Condominium project. Standards of world class living with Navana Real Estate ltd.Please feel free to call us 24/7.",Sale,Residential,10240800.0,https://www.estatemartbd.com/property/187/en/condominium_apartment_at_mohammadpur_dhaka,Dhaka,,,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes
 Dhaka ,6.0,5.0,3750.0,Please Contact the number below for further information.Benkon Builders Limited.01711229045 বসুন্ধরা আবাসিক এলাকা ৯/১০ তলা ডুপ্লেক্স লিফট পার্কিং গ্যাস সহ রেডি ফ্লাট বিক্রয়,Sale,Residential,28000000.0,https://www.estatemartbd.com/property/57/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,4.0,1575.0,"Please Contact the number below for further information.Bappy01567806776 Block HSOUTH FACINGRampura Banasree4 bed, 3 bath, 3 belconyDrawing, Dining, 6th floor2 side road, corner flatFull Ready NEW82 LAC 100% FIXED",Sale,Residential,8200000.0,https://www.estatemartbd.com/property/76/en/1600_sft_south_facing_flat_for_sale_in_rampura_banasree,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,2.0,2.0,900.0,"Please Contact the number below for further information.G.A Foundation LTD01973388524 Company Name: G.A Foundation Ltd Office Address :House# 60, Road# 03, Sector# 12, Mirpur, Dhaka-1216 Project name : G.A Nazma Garden Project address: House- 19,Road - 32,Section - 12, Land Area: 3 Katha Indoor facilities: 2 Beds 2 Baths Balcony Drawing Dinning Utility facilities PABX connection Lift Water * Loan Facilities. * Installment Facility. Gas Connection: Yes Handover: Not Yet (Will be soon) Floor: 2 Facing: North Unit: 2 Units. Total building: G+8 Brand New Flat. Parking: Available Price - 3900000 Thanking bye Tania Ahmed First, Visit then make your decision. For any kinds of help & information Operation Manager G.A Founditon Ltd",Sale,Residential,3900000.0,https://www.estatemartbd.com/property/87/en/ga_nazma_garden_flat_for_sale,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,0.0,0.0,1000.0,"Please Contact the number below for further information:Hassan01636400849 Assalamualaikum...Puran Dhaka Nayabazar Zindabahar 7th Floor 1000 Sqft Ekti Barir... Ground Floor Ti Khub Kom Dame Sab Kobla Bikri Kora Hobe Jini Kinte Icchuk Jogajog Korte Paren..Jeta Apnar Jonno Khubvalo Hobe Insha'allah,apni Shei Jaigai Paper Parket, Printing Press, Paper Godown Hishabe Kaj Korte Paren or Godown Er Nite ParenReal Buyer Call Diben,",Sale,Residential,12500000.0,https://www.estatemartbd.com/property/100/en/warehouse_for_sale,Dhaka,,,Yes,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,No
 Dhaka ,0.0,0.0,720.0,Please Contact the number below for further information.Rajib sarker01824389061 বাড়ির জায়গার পরিমাণ - ১৪ ছটাকপজিশন মালিক - ৫ জনমোট লোকসংখ্যা বসবাসরত - ৮ জনপজিশন - ২ রুম ও ১ রান্না ঘর জমি সহ বিস্তারিত- ১ রুম ও রান্না ঘর দ্বিতীয় তলা তে আরেক রুম তিন তলা তে পড়েছে রুমের বিবরণ - ১০/৫ হাত বাথরুম ও স্নান এর ঘর এজমালী,Sale,Residential,1100000.0,https://www.estatemartbd.com/property/44/en/house_for_sale,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,4.0,3.0,1760.0,"Please Contact the number below for further information: Quazi Saad Ibne Moin01971846877 Flat includes 3 bedroom, 4 bathrooms and 3 balconies, Drawing Room , Dining Room with hand wash basin, spacious kitchen with titas gas connection and prepaid meter and one parking space.(No gas cylinder refill or replacement hassle). Usable space inside the flat is 1760 sft (2000sft with parking and common space). Flat is on the 3rd floor with very peaceful and quiet environment. Plenty of sun light from all sides and good airflow.Brand new 2 burner auto ignition gas stove installed. Brand new kitchen exhaust fan installed.Full backup with powerful IPS covering 5 fans and 9 lights (2.5 hours backup)Two Brand new 56inch ceiling fans installed. (Drawing Room and Dining Room)Brand new door locks on all doors.Brand new basins and brand new commode installed in all the bathrooms.Automatic Rescue Device (ARD) installed in the building lift as backup in case of electricity failure (load shedding).Recently painted, Varnished, professionally cleaned and sterilized.Located at Bashundhara R/A Block F adjacent to NSU, IUB and only 3 minutes walking distance from Viquarunnisa Noon School and College Bashundhara BranchPlease call the following numbers and make an appointment before visiting. Rent 26,000/- taka per month.(Service Charge 6000/- Taka Extra).Two months advance (Cash) during agreement signing.All brand new items are absolutely new and never been used.Just recently installed.Female (Bachelor) students may be considered as tenant. In which case no more than 6 students will be allowed to stay (2 in each room). Rent shall be charged individually according to room facilities and accommodation. Total rent will be 36000/- plus service charge. Furnitures shall be provided for dining room and drawing room. Ceiling fans will be installed in all bedrooms. Geysers will be installed in all bathrooms. Please call for more information.",Rent,Residential,26000.0,https://www.estatemartbd.com/property/110/en/south_facing_flat_for_rent_in_block_f_bashundhara_ra,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1645.0,"Please Contact the number below for further information: M.A Sagar Properties01730372642 Project Name: Richmond Shaheens DreamProject Status: OngoingLocation: Plot No:315,316 & 317, Road # 10, Block #D, Bashundhora R/AHeight : (G+9) 10 Storied BuildingFacing: SouthFlat Size: 1645 sft.Unit: Four Unit per floorLand Area : 15Katha,3 Bed, 3 Bath, 4Verandah, Living, Dining, Kitchen & other facilitiesHand Over: December 2022Ground Floor Reception, Driver waiting room, Guard Room In the Ground Floor.Bank Loan facility AvailableFirst, visit then make your decision.Corporate Office: Delta Dahlia (Level-4),36 kamal Ataturk Avenue,Banani, Dhaka-1213, BangladeshSome Information about Richmond Developers Ltd.# Established in 2009# REHAB membership No: 1120# RAJUK Enlisted No:457# National Housing Authority Membership No: 052# Core Value is satisfied with every customerPlease feel free to contact for further information as required.With Best RegardsM.A. SagarDeputy General Manager(Sales & Marketing)",Sale,Residential,12337500.0,https://www.estatemartbd.com/property/115/en/ongoing_1645_sqft_luxurious_flat_for_sale_at_bashundhara,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,2.0,2.0,800.0,"Please Contact the number below for further information:Ajit Kumar Biswas0176669461101711232240 Bashundhara block-I, plot-79, road-4, 25' wide, new flat two bed, two bath, two verandah, south west corner face, new lift & generator, with 120 sft parking, and 0.25 katha land,caretaker, all facilities.",Sale,Residential,5200000.0,https://www.estatemartbd.com/property/122/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,0.0,0.0,7200.0,"Please Contact the number below for further information: ANJ Land Properties0171199383001716807906 প্লটের বর্ণনাঃপ্রকল্পের নামঃ বসুন্ধরা আবাসিক এলাকাব্লকঃ আই-এক্সটেনসনপ্লট আয়তনঃ ৫+৫=১০ কাঠাকাগজের অবস্থাঃ সকল কাগজ কমপ্লিট আছে এবং নির্ভেজালমূল্যঃ ৬৬ লক্ষ টাকা মাত্র।( প্রতি কাঠা)( আলোচনা সাপেক্ষে)বিঃদ্রঃ: মূল্য নির্ভর করে প্লটের অবস্থান ও প্রকৃতির উপর, তবে বাজারদর অনুযায়ী এখানে মূল্য দেয়া আছে।ধন্যবাদমোা: নজরুল ইসলাম সিকদার অফিস:এস.এস. কমপ্লেক্স, ক-৬/বি, বসুন্ধরা রোড, ঢাকা-১২১২",Sale,Residential,66000000.0,https://www.estatemartbd.com/property/117/en,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,3.0,3.0,1480.0,Please Contact the Number Below for Further Information: Onward Developers Limited01963925375019639253740196392537101963925370 Project DetailsName: Onward PleasanceFacing: West (front Side 60 Feet Road)Height: B+g+9Unit: 3 Units per FloorParking: 27 CarsPlot Area: 10 Katha Apartment Inside Arrangement:Separate DiningFamily LivingKitchenA/c ProvisionFridge ProvisionWashing Machine ProvisionProvision for Geyser in BathroomsGenerator Connection AvailableCar Parking Unit for Each UnitHand Over: December-2023Safety & Security:1. Earthquake Resistant Structure.2. 120’ × 24” Dia Cast-In-Situ R.C.C Pile Foundation.Other Features:1. Double Passenger’s Lifts.2. Provisions for Cable Tv and Telephone Connection.3. 27 Units Emergency Generator Backup.4. Spacious Lobby and Driveway.5. Drivers Waiting Space with Other Facility.6. Few Steps Away from Apollo Hospital (evercare Hospital).7. Gas: In Subject to Get Permission8. Well Decorate Waiting Lounge9. Auto Started Generator10. Rooftop Community Room11. Garden12. Intercom13. Well Ventilated for Sufficient Air Flow14. Bank Loan Facilities15. Calm & Quite Area16. Less Traffic Jam17. High Security18. Construction Follow Bnbc Rules19. All Facilities Available in Modern Living20. Nearest Airport Rehab Membership No- 675,Sale,Residential,11692000.0,https://www.estatemartbd.com/property/123/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,5.0,4.0,3650.0,"Please Contact the number below for further information:Abrar Housing & Constructions01703216911 A Full Furnished Sophisticated Flat For SaleProjects Address: Block-C, Bashundhara .Face: South FaceSize : 3650 sqftPer Floor Unit : 2No. of Beds :4No. of Bath :54 Verandas, Living, Dining, Kitchen etc. All room’s size is standard.Parking-22 lift, 2 stairLand: 15 kathaStoried : B+G+8Other Details: Sufficient natural light and airflow Free from dust and sound pollution with Gym, modern Lift, Generator and having all utility connections (Electricity/Wasa) with a spacious Reading Room,Family living room(Separate) and secure 2 car parking.If you like the flat, call us right away to know more",Sale,Residential,47000000.0,https://www.estatemartbd.com/property/125/en/3650_sqft_luxurious_flat_for_sale_in_bashundhara_block_c,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,4.0,4.0,3900.0,"Please Contact the number below for further information: Naba-E Zaheer01755515948 South Facing Apartment. 4 Bed, 4 Bath, 4 Balcony, 1 Dining space, 1 Formal living, 1 Family Living, Kitchen, Servant bed, Servant toilet, Pantry, Foyer.2 Car parking2 Spacious Lift2 Stand by GeneratorCommunity Space, Gymnasium, Kid's Zone, Reception lounge",Sale,Residential,60450000.0,https://www.estatemartbd.com/property/126/en/single_unit_south_facing_brand_new_apartment_for_sale,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,4.0,1850.0,Please Contact the number below for further information:Sadia Afrin01913666640 মিরপুর ১২ আবাসিক এলাকায় ঝিলপাড় মসজিদ সংলগ্ন দক্ষিন্মুখী ২৫ ফিট রাস্তার সাইডে ৭ তলা ভবনের ৩ য় তলা ও ৭ তলায় ( ১৮৫০ বঃফুঃ) ৩ বেড/৩বাথ/ ৩ বারান্দা সহ ব্যাংক লোন সুবিধায় প্রায় রেডী ফ্ল্যাট বিক্রি হবে । ইম্পেরিয়াল গ্রুপ।,Sale,Residential,8000000.0,https://www.estatemartbd.com/property/132/en,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,4.0,4.0,3608.0,"Please Contact the number below for further information: Property Connect Limited.019333010100193332333901933323335 Large 3,608 sft flat on the main road of North Gulshan Avenue. The Flat is on the front side of 3rd floor of the building.# 4 Bed & 4 Bath# Separate maid room & toilet# On the 3rd floor of 6 storied building.# Wooden wall cabinet and kitchen cabinet.# Ample light & air in all rooms.# 2 units per floor, huge void (gap) between two apartments.# Foyer, 2 Utility room and 6 Balcony# Titas Gas connection# 10 apartments in 11 Katha land hence land proportion is 1.1 Katha# Apt complex built by a renowned developer. Please feel free to call us for further detail.",Sale,Residential,55500000.0,https://www.estatemartbd.com/property/129/en/exclusive_4_bed_3608_sqft_flat_for_sale_at_gulshan_north_avenue,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1250.0,"Please Contact the number below for further information:Dominant Real Estate Ltd.01730069644 SEMI-READY-----APARTMENT----AT----ECB, CANTONMENT, MIRPUR Dominant – BELLA VISTAProject Address: ECB, Water Pump Road, Cantonment, Mirpur, Dhaka. Land Area : 10 KathaBuilding Storied: G + 8th Floor, Hand Over: June,2022Present Status: 7th Floor Casting work , Apartment Size--- 1250-Sft---Available Indoor facilities: • 3- Bed • 3 -Bathroom • Dining • Living • Kitchen • Balcony • Electricity • Lift • Community Space, Contract For Details---- Md. Maruf UzzamanAssistant General ManagerMarketing and SalesDominant Group",Sale,Residential,6250000.0,https://www.estatemartbd.com/property/134/en/1250_sqft_ongoing_apartment_at_ecb_cantonment_mirpur,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
 Dhaka ,3.0,3.0,1300.0,"Address: 244, Sikder Amir Garden, GM Bari, Satarkul Road, North Badda, Dhaka. 8 storey building, ready Flat -8 floor, 1200 sqft flat, car parking 100 sqft, total 1300 Sqft, 3 Bed rooms, 3 western bathroom, 01 modern kitchen, dining and   droning room, 2 balcony south face, 02 bed room and dining droning room is wall paper furnish, inside rooftop with decoration, apartment is east and south face, front of building 60 feet main road south face, all common space facilely, standby generator, 24 hours grad, 24 sqft floor marble tiles.",Sale,Residential,0.0,https://www.estatemartbd.com/property/138/en/ready_luxuries_apartment,Dhaka,,,No,No,No,No,No,Yes,No,No,No,No,No,No,No
 Dhaka ,2.0,2.0,800.0,"Ready Flat sale at mirpur-2 Baro Bagh (Near Azimat Garments 800sq.ft. 2 bed,2 Bath, Drawing, Dinning, Kitchen, Balcony, open South  3rd Floor  no parking, lift Generator, Gas security, CC camera is available.",Sale,Residential,3600000.0,https://www.estatemartbd.com/property/142/en/ready_flat_for_sale_at_baro_bagh_mirpur_2_near_azimat_garments,Dhaka,,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes
