amenities,area,building_type,commercial_type,location,num_bath_rooms,num_bed_rooms,page,price,property_description,property_overview,property_url,purpose
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",3806 sft,Residential,,"Dhanmondi, Dhaka",5,5,,63300000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 3806 sft area  it will definitely make home ownership a joyful experience for you. This 5 bedroom  5 Bathrooms  and 3 balconies apartment are located at Dhanmondi. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/3806-sft-apartment-for-sale-in-dhanmondi-4th-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Lift,Parking,Tiled Floor",3100 sft,Residential,,"Dhanmondi, Dhaka",5,5,,63000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 3100 sft area  it will definitely make home ownership a joyful experience for you. This 5 bedroom  5 Bathrooms  and 3 balconies apartment are located at Dhanmondi. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/3100-sft-apartment-for-sale-in-dhanmondi-8th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Electricity Supply,Fire Extinguisher,Gas Supply,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1225 sft,Residential,,"Kalabagan, Dhaka",3,3,,14500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment are located at Dhanmondi. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1225-sft-apartment-for-sale-in-kalabagan-1st-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Lift,Parking,Tiled Floor",1500 sft,Residential,,"Bashundhara, Dhaka",4,3,,12000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With an 1500 sft area  it will definitely make home ownership a joyful experience for you. These 3-bedroom  3 bathrooms  and 3-balcony apartments are located in Bashundhara. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604  Whats App +880 1755-662414 or you can also send us a message.,,https://btibrokeragebd.com/property/1500-sft-apartment-for-sale-in-bashundhara-flat-a2-a8/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Gas Supply,Generator,Intercom,Lift,Open Terrace,Parking,Reception Desk & Lobby,Tiled Floor",4400 sft,Residential,,"Dhanmondi, Dhaka",4,4,,110000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment are located at  . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants  etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/4400-sft-apartment-for-sale-in-dhanmondi-4th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1750 sft,Residential,,"Uttara, Dhaka",4,3,,18000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment is located in Uttara Sector 6. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1750-sft-apartment-for-sale-in-uttara-sector-6-flat-c6/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Fire Extinguisher,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",1450 sft,Residential,,"Uttara, Dhaka",5,3,,14500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment is located in     . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1450-sft-apartment-for-sale-in-uttara-sector-11-flat-6a/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Fire Extinguisher,Generator,Intercom,Lift,Parking,Reception Desk & Lobby,Tiled Floor",2678 sft,Residential,,"Uttara, Dhaka",4,3,,27000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a   area  it will definitely make home ownership a joyful experience for you. This   apartment are located in     . All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2678-sft-apartment-for-sale-in-uttara-sector-3-3rd-floor/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Fire Extinguisher,Generator,Lift,Tiled Floor",2335 sft,Residential,,"Madani Avenue, Dhaka",3,4,,17345000,If you are looking for a suitable place to live in Madani Avenue  then we have a wonderful place for you. With a spacious 2335 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedroom with 3 balcony and 4 bathroom  apartment is located in United City. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604.,,https://btibrokeragebd.com/property/2335-sft-apartment-for-sale-in-madani-avenue-3rd-4th-floor/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",1245 sft,Residential,,"Rayer Bazar, Dhaka",4,4,,9400000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1245 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  4 Bathrooms and 2 balconies apartment is located in Rayer Bazar. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1245-sft-apartment-for-sale-in-rayer-bazar-flat-4-e/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",1250 sft,Residential,,"Lechu Bagan, Dhaka",3,3,,7500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1250 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located in Lechu Bagan. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1250-sft-apartment-for-sale-in-lechu-bagan-flat-4a/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Generator,Lift,Tiled Floor",1633 sft,Commercial,,"Purana Paltan, Dhaka",0,,,89815PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Purana Paltan! It is offering spaces ready for rent on the 8th floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 1633 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/1633-sft-commercial-space-for-rent-in-purana-paltan-8th-floor/,For Rent
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Generator,Lift,Tiled Floor",1633 sft,Commercial,,"Purana Paltan, Dhaka",0,,,89815PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Purana Paltan! It is offering spaces ready for rent on the 13th floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 1633 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/1633-sft-commercial-space-for-rent-in-purana-paltan-13th-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",1250 sft,Residential,,"Lechu Bagan, Dhaka",3,3,,7000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1250 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located in Lechu Bagan. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1250-sft-apartment-for-sale-in-lechu-bagan-flat-3b/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",1600 sft,Residential,,"Shahjadpur, Dhaka",3,3,,9000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1600 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 2 balconies apartment is located in Shahjadpur. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1600-sft-apartment-for-sale-in-shahjadpur-flat-ab-6/,For Sale
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Generator,Lift,Tiled Floor",2500 sft,Commercial,,"Kakrail, Dhaka",0,,,112500PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Kakrail! It is offering spaces ready for rent on the 1st floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 2500 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/2500-sft-commercial-space-for-rent-in-kakrail-1st-floor/,For Rent
"Air-Condition Provision,Electricity Supply,Emergency Exit,Generator,Tiled Floor",2600 sft,Commercial,,"Paltan, Dhaka",0,,,429000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Paltan! It is offering spaces ready for rent on the ground floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 2600 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/2600-sft-commercial-space-for-rent-in-paltan-ground-floor/,For Rent
"Electricity Supply,Emergency Exit,Gas Supply,Generator,Lift,Tiled Floor",50 sft,Commercial,,"Badda, Dhaka",0,,,1000000,If you are looking to purchase a cart shop for your business in one of the iconic commercial areas of Dhaka  Badda  then we have the perfect space for you. This space is sized 50 sqft. The building is equipped with all the modern commercial amenities such as lift  escalator  industrial generator back up  etc. The building is situated in an area where it has access to thousands of people every day  making it a perfect place to set up your business. If you want to know more details  please call us at 16604.,,https://btibrokeragebd.com/property/50-sft-cart-shop-for-sale-in-badda-cart-shop-11/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",1250 sft,Residential,,"Lechu Bagan, Dhaka",3,3,,7500000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 1250 sft area  it will definitely make home ownership a joyful experience for you. This 3 bedrooms  3 Bathrooms and 3 balconies apartment is located in Lechu Bagan. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the three modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/1250-sft-apartment-for-sale-in-lechu-bagan-flat-3a/,For Sale
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",2900 sft,Residential,,"Rayer Bazar, Dhaka",4,4,,19000000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 2900 sft area  it will definitely make home ownership a joyful experience for you. This 4 bedrooms  4 Bathrooms and 3 balconies apartment is located in Rayer Bazar. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the four modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/2900-sft-duplex-apartment-for-sale-in-rayer-bazar-6th-7th-floor/,For Sale
"Air-Condition Provision,Electricity Supply,Emergency Exit,Generator,Tiled Floor",2200 sft,Commercial,,"Paltan, Dhaka",0,,,286000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Paltan! It is offering spaces ready for rent on the 1st floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 2200 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/2200-sft-commercial-space-for-rent-in-paltan-1st-floor/,For Rent
"Air-Condition Provision,Cable TV Provision,Electricity Supply,Emergency Exit,Generator,Lift,Tiled Floor",1800 sft,Commercial,,"Kakrail, Dhaka",0,,,126000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Kakrail! It is offering spaces ready for rent on the 8th floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 1800 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/1800-sft-commercial-space-for-rent-in-kakrail-8th-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",800 sft,Residential,,"Shyamoli, Dhaka",2,2,,4600000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 800 sft area  it will definitely make home ownership a joyful experience for you. This 2 bedrooms  2 Bathrooms and 1 balcony apartment is located in Shyamoli. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/800-sft-apartment-for-sale-in-shyamoli-flat-a-2/,For Sale
"Air-Condition Provision,Electricity Supply,Emergency Exit,Generator,Tiled Floor",2200 sft,Commercial,,"Paltan, Dhaka",0,,,264000PerMonth,If you are looking for a commercial space for rent in one of the most upscale locations in Dhaka then you may take a look at this space at Paltan! It is offering spaces ready for rent on the 2nd & 3rd floor. The layout is open  functional  spacious  and well ventilated. This commercial space provides 2200 sft and has expected monthly rent. The building also comes with amenities like security  fire protection system  and adequate parking spaces to cater to the modern commercial space requirements. To know more details  contact us at your earliest!,,https://btibrokeragebd.com/property/2200-sft-commercial-space-for-rent-in-paltan-2nd-3rd-floor/,For Rent
"Air-Condition Provision,Built-in Kitchen Cabinet,Cable TV Provision,Dry Kitchen,Electricity Supply,Gas Supply,Lift,Tiled Floor",800 sft,Residential,,"Shyamoli, Dhaka",2,2,,4600000,Are you searching for a beautiful home to buy at one of the most upscale locations in town? This is exactly what you are looking for. With a 800 sft area  it will definitely make home ownership a joyful experience for you. This 2 bedrooms  2 Bathrooms and 1 balcony apartment is located in Shyamoli. All the rooms have ample space and will allow you to decorate your home according to your preference. Top-notch quality fittings and fixtures have been used for the two modernly designed bathrooms of this apartment. The apartment also allows the residents to have all the contemporary civic facilities such as cafes  restaurants etc. in the vicinity. So  if you want to know more about this apartment or want to visit it firsthand  we are just one phone call away. You can give us a call at 16604 or you can also send us a message.,,https://btibrokeragebd.com/property/800-sft-apartment-for-sale-in-shyamoli-flat-a-6/,For Sale
