added_on,address,area,details,fire_exit,generator,gym,last_updated,lift,offered_floor,parking,present_status,price,property_category,property_id,property_size,property_type,property_url,rent_or_sale,rooftop_garden,swimming_pool,title,total_bathrooms
"Thu, Dec 29, 2022 8:14 AM","Niketon, Gulshan One","Niketan, Dhaka","2000 sft full furnished luxurious flat for rent in Niketon Gulshan One. The location of the fla is in most secure, calm & quiet environment of Niketon. Flat has 3 bedroom, 3 bathroom, open drawing - dining area, 1 study room, 1 car parking etc. The flat has all kinds of furniture's, bed, sofa, air-conditions, fridge, oven and all kinds of fittings and fixtures  for a family stay. Only foreigners will be preferable.",,Partial,,"Thu, Dec 29, 2022 8:15 AM",Yes,5,1 Slot,Vacant,75000.00 BDT,Residential,639,2000,Furnished,https://propertyfinderbd.com/property-details/639,Rent,Yes,,Luxury Furnished Flat For Rent In Niketon,3
"Sat, Dec 31, 2022 4:51 AM","Tongi, Gazipur","Tongi, Dhaka","টংগী হোসেন মার্কেট যোগাযোগ ব্যবস্থায় খুবই ভাল একটি এলাকা। এর পশ্চিমে ও পূর্বে কয়েক লক্ষ মানুষের বসবাস। স্থানীয়ভাবে বসবাসকারী জনগোষ্ঠী চাকুরী ও ব্যবসা এই দুই পেশাতে বেশ অবদান রাখছে।   এই জনগোষ্ঠীর একটি উল্লেখযোগ্য অংশ প্রবাসী আয় হিসেবে প্রচুর বৈদেশিক মুদ্রাও দেশে পাঠাচ্ছে। এই রকম আকর্ষণীয় স্থানে ঢাকা মায়মানসিংহ রোডের পশ্চিম পার্শ্বে United Shopping Complex এ অফিস ভাড়া হবে। বিস্তারিত নিম্নে দেয়া হলোঃ
 Rent offer: Space per floor is 7000 square feet. 3rd, 4th and 5th Floor total 21000 square feet. Location: Dhaka Mymansingh Road, beside Tongi Hossain Market bus stoppage. Building current status: Ground Floor: electronic market (shops), 1st floor: MTB bank (half of the floor) 2nd floor: District level Government Office, Prospective priority rent holder: Life and General Insurance company, Non Bank Financial Institutions , Corporate regional Office,  NGO Office, Co-operation Society. Interested rent holders are kindly requested to visit space. or call for any kind of queries.",,Partial,,"Sat, Dec 31, 2022 4:51 AM",,3,2 Slot,Vacant,735000.00 BDT,Commercial,640,21000,Office Space,https://propertyfinderbd.com/property-details/640,Rent,,,"21000 sft commercial floor rent in Tongi, Gazipur City",4
"Sun, Jan 1, 2023 9:39 AM",Dhanmondi,"Dhanmondi, Dhaka","11, 000 sft  commercial floor rent on 3rd floor in prime location of Dhanmondi.  It can be perfect place for Bank, Insurance, local r foreign NGO offices, convention centers or any kind of brand showroom.  Open single floor with toilet block, 8 reserve car parking facilities available in the basement and own separate generator for the floor. If you interested and want to visit the floor, please make an appointment first because there is no key on the side. Necessary arrangements will made to show the floor according to your time.",Yes,Full Backup,,"Sun, Jan 1, 2023 9:39 AM",Yes,,,Vacant,1650000.00 BDT,Commercial,642,11000,Floor,https://propertyfinderbd.com/property-details/642,Rent,Yes,,"Commercial 11,000  sft Office Sapce Rent In Dhanmondi",6
"Thu, Jan 5, 2023 4:23 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Furnished Serviced Office Space Rent In Bashundhara R/A
Our flexible, air-conditioned work spaces in Bashundhara R/A have all the material removal facilities your business requires for success, such as high speed internet and unlimited refreshments, biometric fingerprint, printing, scanning etc. We are ready to combine the highest-quality service and amenities to provide office space choices which are specific to the needs of your business.
.
Facilities Available
> Super-Fast WiFi
> Commercial Space
> Biometric Fingerprint
> Standard Meeting Room
> Lockable Storage & Cabinets
> Comfortable Desk Service, AC
> Separate USB, Electricity ports
> Kitchen With Fridge & Microwave
> Cleaning Service, Fire Extinguisher
> Printing ,Scanning, Photocopying 
> 24/7 Internal Network Monitoring
.
Please See More: https://www.banglamart.com/serviced-office
.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,,"Sat, Jan 7, 2023 3:12 AM",Yes,5,,Vacant,1.00 BDT,Commercial,649,1600,Office Space,https://propertyfinderbd.com/property-details/649,Rent,,,Shared/Coworking Office Space Rent In Bashundhara R/A,1
"Mon, Jan 2, 2023 5:13 AM","Kandaile, Ashulia, Savar","Ashulia, Dhaka","15,000 square feet shed for rent in Ashulia Kandaile area. A garments printing factory is currently running, they will be leaving on next February. Any kind of factory or godowan for rent from March-2023. Please call for more details.",,Partial,,"Mon, Jan 2, 2023 5:14 AM",,,1 Slot,Vacant,180000.00 BDT,Commercial,645,15000,Factory Shade,https://propertyfinderbd.com/property-details/645,Rent,,,"15,000 sftv shed for rent Kandaile Area, Ashulia",6
"Mon, Jan 2, 2023 5:27 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>Wifi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=Y0b-pec1hlE
.
Contact For Booking:
+88 01712553547
+88 01921096842",Yes,Full Backup,,"Mon, Jan 2, 2023 6:56 AM",Yes,2,1 Slot,Vacant,1.00 BDT,Residential,646,875,Furnished,https://propertyfinderbd.com/property-details/646,Rent,Yes,,Vacation Rental Short Stay Apartment Available In Bashundhara,2
"Sat, Jan 7, 2023 6:41 AM",Gulshan - 1,"Gulshan, Dhaka","1650 sft open office space for rent in completely new building in Gulshan.  The floor has completed by tiles, there are 2 bathrooms , one car park in the basement with 24/7 generator and lift facilities etc.

The building conforms to all the rules and regulations of RAJUK which has all the commercial facilities and your office in this building will have a corporate experience.",Yes,Full Backup,,"Sat, Jan 7, 2023 6:42 AM",Yes,4,1 Slot,Vacant,220000.00 BDT,Commercial,652,1662,Office Space,https://propertyfinderbd.com/property-details/652,Rent,Yes,,1650 Sft Brand New Office Rent,2
"Sat, Jan 7, 2023 4:24 PM",Banani,"Banani, Dhaka","1000 sft full furnished small office for rent at 5th floor in Banani. There are 2executive room, 1 bathroom, another separate room with 5 working stations. The building has 2 elevators and full load backup generator facilities are available. There is no dedicated car parking with this office space but if required 1/2 car parking spaces can be managed in the basement on monthly rent basis.",Yes,Full Backup,,"Sat, Jan 7, 2023 4:25 PM",Yes,5,,Vacant,140000.00 BDT,Commercial,655,1000,Office,https://propertyfinderbd.com/property-details/655,Rent,Yes,,Small furnished office for rent in Banani,1
"Mon, Jan 17, 2022 10:45 AM","Sector#1, Road#102, Plot # 63, South facing corner plot, Purbachal Dhaka","Purbachal New Town, Dhaka","Address : Plot # 63, Road # 102, Sector # 1, Purchachal, Dhaka
Area : 7.5 katha 
Advantages : 
1. South facing corner plot beside Sheikh Hasina International Stadium.
2. Have boundary and gate
3. Opposite of the plot is kept as parking spot from Rajuk, therefore always good views and fresh air.
4. 75 feet concrete Road in front of the plot. 
5. Already there are residential buildings and restaurants beside the plot. 
6. City University 100 Katha plot is 5 minutes walk. Plot received from in Business Category. 
7. All Documents Are Up-to-date. 
8. Ready to Transfer the Property at any time for the prospective buyer. 
9. Brokerage Fee 1% to be paid by us to the fastest seller as incentive.",,,,"Tue, Jan 18, 2022 8:29 AM",,,,Vacant,100000000.00 BDT,Land,412,8,Plot,https://propertyfinderbd.com/property-details/412,Sale,,,7.5 Katha South facing corner plot,
"Fri, Jan 14, 2022 3:46 PM","Rajabari, Kamarpara, Uttara, Dhaka-1230.","Uttara, Dhaka","📣 ঢাকার উত্তরা কামারপাড়া এলাকায় প্রায় ৩ কাঠা আয়তনের নিজস্ব জমিতে নির্মিতব্য ৭ তলা ভবনের প্রজেক্টে মাত্র ৪ জন প্রকৃত অংশীদার প্রয়োজন। 

🔎 প্রতি বর্গফুট মাত্র ৪ হাজার টাকা খরচে একেকজন অংশীদার ১৫০০+ স্কয়ার ফিটের একটি বড় ফ্ল্যাটের মালিক হতে পারবেন। ভবনে থাকবে লিফট এবং গ্যারেজ সুবিধা।  গ্যারেজ স্পেস এবং ইউটিলিটি বাবদ এককালীন কোন অতিরিক্ত টাকা দিতে হবে না। অর্থাৎ গ্যারেজ স্পেস এবং ইউটিলিটি সার্ভিসের এককালীন মূল্য ফ্রি! উত্তরা এবং আশেপাশের এলাকায় আধুনিক সকল সুবিধাসহ এতো কম দামে  নতুন ফ্ল্যাট অন্য কোথাও আপনি পাবেন না।  

✅ জমির মালিকানা ভিত্তিতে অংশীদার হওয়ার সুযোগ থাকায় আপনার বিনিয়োগ থাকবে এই প্রজেক্টে শতভাগ সুরক্ষিত। তাই দেরী না করে ইনবক্স করুন এক্ষুনি! অথবা, ফোন করতে পারেন আমাদের নম্বরে।

👉ফেসবুকে আমাদের সাথে যোগাযোগ করুন এই ঠিকানায়ঃ 
https://www.facebook.com/investmenthubbangladesh",,Partial,,"Sat, Jan 15, 2022 6:04 AM",Yes,4,1 Slot,Vacant,6000000.00 BDT,Residential,408,1500,Apartment,https://propertyfinderbd.com/property-details/408,Sale,Yes,,উত্তরায় ১৫০০+ বর্গফুটের ফ্ল্যাট সবথেকে কম দামে!,3
"Tue, Jan 18, 2022 10:30 AM","Bostail-Madanpur Road, Narayangonj","Sonargoan, Narayanganj, Dhaka","3.3 Bigha (110 decimal)  factory land with 8000 Sft fully ready steel building (height 24 feet). 
800 sft office building. There is a boundary wall around the land.
40 kw electricity connection.  located at sheikh kandi, barodi road, sonargaon, narayangonj. 
30 feet front road & land is  200 ft long along road side. 
Opportunity to extended land upto 25 bigha. 
Expected price 5.5 crore",,No,,"Tue, Jan 18, 2022 10:30 AM",,1,,Vacant,55000000.00 BDT,Land,415,47520,Land with building,https://propertyfinderbd.com/property-details/415,Sale,,,"3.30 Bigha Land with Factory Shed  For Sale In Bostail-Madanpur Road, Narayangonj",5
"Thu, Feb 3, 2022 3:57 AM",South Badda,"Badda, Dhaka",Two ready flats for Sale near Hatir Jheel / Police Plaza.,,,,"Thu, Feb 3, 2022 6:54 AM",,6,N/A Slot,Vacant,4500000.00 BDT,Residential,421,1050,Brand New Apartment,https://propertyfinderbd.com/property-details/421,Sale,,,Ready Flat for Sale,2
"Wed, Jan 26, 2022 2:24 PM",Gulshan,"Gulshan, Dhaka","2818 sqft ready apartment available for sale at 7th floor at Gulshan, north-east  facing with 4 bed room, 3 bath room, drawing room, dining room, kitchen, car parking -1, 3 balcony, servant room with toilet  etc. This apartment is very bright & airy , 4 years used flat , generator , lift are available Please call interested buyer  only.",Yes,Full Backup,Yes,"Wed, Jan 26, 2022 2:24 PM",Yes,7,,Vacant,55000000.00 BDT,Residential,416,2818,Apartment,https://propertyfinderbd.com/property-details/416,Sale,Yes,,2818 sft luxuries ready apartment for sale @ Gulshan,3
"Wed, Jan 26, 2022 5:24 PM","Boraid, Saturia, Manikganj","Manikganj, Dhaka","ঢাকার মানিকগঞ্জে এক দাগে মোট প্রায় ৫৯ কাঠা জমি বিক্রয় হবে |

জমিটি বাগান বাড়ি/কৃষি/ফ্যাক্টরি/খামার/গুদাম এর জন্য ব্যবহার উপযোগী | জমিটি চতুর্ভুজাকৃতির ও রেজিস্ট্রি মূলে এক দাগে একক মালিকানাধীন ও মানিকগঞ্জের সাটুরিয়া থানার অধীনে বরাইদ মৌজায় অবস্থিত। জমির পাশেই প্রধান সড়ক বিদ্যমান | এলাকায় পল্লী বিদ্যুৎ, ডিশ সংযোগ আছে। জমির কাছে আবাসিক ঘর বাড়িও আছে।

মোট মূল্য ৪৭,২০,০০০/= টাকা।
জমির পরিমাণ ৫৯ কাঠা।
প্রতি কাঠা ৮০,০০০/= টাকা।

যৌক্তিক দর প্রস্তাবের সুযোগ আছে।
পুরো জমি কেনার ক্ষেত্রে বিশেষ সুবিধা বিবেচনা করা হবে। আংশিক জমি কেনার ক্ষেত্রে বর্ধিত দরে ক্রয় করতে পারবেন। 

মৌজা : বরাইদ
উপজেলা : সাটুরিয়া
মানিকগঞ্জ
ঢাকা |

লোকেশন :
ঢাকা গাবতলি থেকে সরাসরি বাসে নবীনগর, ধামরাই, কালামপুর রুট হয়ে সাটুরিয়া বাসস্ট্যান্ড নেমে স্ট্যান্ড থেকে CNG করে সরাসরি বরাইদ এ জমিতে পৌঁছানো যায়।

গাবতলি থেকে সাটুরিয়া বাস ভাড়া প্রায় 75 টাকা।
সাটুরিয়া থেকে বরাইদ reserve CNG ভাড়া প্রায় ২০০ টাকা। CNG শেয়ার এ গেলে জন প্রতি প্রায় ৪৫ টাকা।",,No,,"Thu, Jan 27, 2022 4:19 AM",,,,Hired,80000.00 BDT,Land,417,59,Plot,https://propertyfinderbd.com/property-details/417,Sale,,,ঢাকার মানিকগঞ্জে ৫৯ কাঠা জমি বিক্রয় হবে |,
"Fri, Feb 4, 2022 1:32 AM","83/89, New Town, Hazi Badsha Mia Road, Matuail, Demra, Dhaka-1362","Demra, Dhaka","Flat Size: 1140, 1000, & 960 Sft. (3 Beds, 2 Baths, Dinning, Kitchen & 2 Ver.)
Handover: Within 06 months.",,,,"Sat, Feb 5, 2022 11:25 AM",,3,,Vacant,4000.00 BDT,Residential,422,1140,Apartment,https://propertyfinderbd.com/property-details/422,Sale,,,"Flat sell (Near Tamirul Millat Mohila Madrasa, Hazi Badsha Mia Road, Matuai)",2
"Sat, Feb 12, 2022 7:18 PM","Bosila, Washpur, Dhaka.","Keraniganj, Dhaka","ঢাকার ওয়াশপুরে ১১ কাঠা রেডি প্লট বিক্রয়।
মাত্র ১০ লাখ টাকায় প্লট মালিক হবার সুযোগ থাকছে।

ঢাকার জনবহুল আবাসিক এলাকা মোহাম্মদপুরের ২ (দুই) কিলোমিটার এর মধ্যে ওয়াশপুরে ১১ কাঠা রেডি প্লট এর শেয়ার বিক্রয় করা হচ্ছে। প্রতি শেয়ার মূল্য ১০ লক্ষ টাকা। মাত্র তিনটি শেয়ার অবশিষ্ট রয়েছে। সাফকবলা রেজিস্ট্রি মূলে প্লট এর মালিকানা হস্তান্তর নিতে পারবেন। এছাড়াও শেয়ার হোল্ডারগন নতুন নির্মাণ অপেক্ষায় প্রস্তাবিত সুউচ্চ এপার্টমেন্ট এর এক বা একাধিক ফ্ল্যাট বরাদ্দ পাবেন।

এছারাও স্বল্প দামে সম্পূর্ণ একক মালিকানায় আবাসন প্লট ক্রয় করতে চাইলে এখনই বাড়ি করার উপযোগী প্লট দেওয়া যাবে। রেজিস্ট্রেশনের সাথে সাথেই প্লটের মালিকানা বুঝে নিবেন। কোনও প্রকার বিলম্ব হস্তান্তর বা দেরিতে ডেলিভারি তারিখ নেই। প্লটের সাথেই রাস্তা ও হাউজিং এর সকল সুযোগ সুবিধা বিদ্যমান।
বিস্তারিত জানতে সরাসরি যোগাযোগ করুন।",Yes,Full Backup,Yes,"Sun, Feb 13, 2022 5:52 AM",Yes,17,20 Slot,Vacant,1000123.00 BDT,Land,428,11,Plot,https://propertyfinderbd.com/property-details/428,Sale,Yes,,"ঢাকার বসিলা, ওয়াশপুরে মাত্র ১০ লাখে রেডি প্লট নিন।",
"Thu, Dec 29, 2022 6:57 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Two Bedroom Serviced Apartment Rent In Bashundhara R/A
Our serviced apartment is fully decorated with modern amenities. You can take it as a Short-term or Long-term basis for your vacation rental. All the facilities are available like TV, geyser, refrigerator, WiFi, microwave, and air conditioning, laundry services etc.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.banglamart.com/co-living/studio-aptt-rentals/
.
Contact For Booking:
+88 01712553547
+88 01921096846",Yes,Full Backup,,"Sat, Dec 31, 2022 12:02 PM",Yes,3,1 Slot,Vacant,1.00 BDT,Residential,638,875,Brand New Apartment,https://propertyfinderbd.com/property-details/638,Rent,Yes,,Short & Long-term Serviced Apartment Rental Available In Dhaka,2
"Mon, Feb 7, 2022 11:52 PM","190 MODDHO BASABO, SABUJBAG, DHAKA-1214.","Khilgaon, Dhaka","√√√ সম্পূর্ণ রেডি ফ্ল্যাট বিক্রয় √√√

ঢাকার মধ্য বাসাবো এলাকায় (খেলার মাঠের সাথে) সম্পূর্ণ নতুন বিল্ডিংয়ে বিক্রয়ের জন্য শুধুমাত্র একটি ফ্ল্যাট অবশিষ্ট রয়েছে।

*ফ্ল্যাট এর বিবরণ*

• ১৪০০ স্কয়ার ফিট + পার্কিং ১৫০ স্কয়ার ফিট

• তৃতীয় তলায় (দক্ষিণমুখী)

• তিতাস গ্যাস

যেকোনো সময় ফ্ল্যাট পরিদর্শনের জন্য অথবা দাম এবং অন্যান্য বিস্তারিত জানার জন্য কল করুন।

সম্পূর্ণ ফ্ল্যাটের ভিডিও দেখতে নিম্নের লিঙ্কে ক্লিক করুন (ফ্ল্যাটের ভিডিওটি দুই পর্বের ভিডিওতে আলাদা করে দেয়া আছে)।

https://youtube.com/channel/UCIvMHDXy3927mIWb0QJkRaA",Yes,Full Backup,,"Tue, Feb 8, 2022 8:43 AM",Yes,2,1 Slot,Vacant,8600000.00 BDT,Residential,425,5,Brand New Apartment,https://propertyfinderbd.com/property-details/425,Sale,,,1400 SQFT RESIDENTIAL FLAT FOR SALE,3
"Tue, Dec 20, 2022 8:09 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Our flexible, social, air-conditioned co-working spaces in Dhaka include all the modern comforts your business needs for success, such as high-speed internet and unlimited refreshments. Our office space offers the best service and amenities to provide office space options that are tailored to the needs of your business.
.
Benefits
>Extremely Fast Internet
>Continual Refreshment
>Standard Meeting Room
>Comfortable Desk Service 
>Printing, Scanning, and Photocopying
>Lockable Storage Spaces & Drawers
>24 Hour Security, Pleasant Environment
>Completely separate Internet & Electricity Ports
.
PleaseSee more: https://www.reit.com.bd/projects/cash-flow-projects
.
Contact For Booking:
+88 01712553547
+88 01921096846",,Full Backup,,"Tue, Dec 20, 2022 8:45 AM",Yes,5,,Vacant,1.00 BDT,Commercial,620,1700,Office Space,https://propertyfinderbd.com/property-details/620,Rent,,,Fully Furnished Coworking Office Space Rent In Dhaka,9
"Fri, Dec 23, 2022 4:56 AM","DIT Road Rampura, Dhaka","Rampura, Dhaka","10,000 sft commercial floor for rent in DIT Road, Rampura. The building is fully commercial establishment. Therefore all commercial facilities including elevators, generator fire exit have been kept available in the building. Rent will be given to any bank, insurance, hospital or any foreign organization and group of companies are preferable. Please call us to visit the floor.",Yes,Full Backup,,"Fri, Dec 23, 2022 4:57 AM",Yes,5,2 Slot,Vacant,800000.00 BDT,Commercial,626,10000,Office Space,https://propertyfinderbd.com/property-details/626,Rent,,,"10,000 sft Commercial Floor Rent In DIT Road, Rampura, Dhaka",4
"Thu, Dec 22, 2022 6:11 AM","Kamarpara, Uttara","Uttara, Dhaka","16,000 square feet warehouse for rent in Uttara Kamarpara. Rent per square feet BDT 22.00 which is fixed. The road in front of the shed is wide enough for trucks or lorries to come and go. There is separate space available for loading unloading.",,No,,"Thu, Dec 22, 2022 6:11 AM",,,3 Slot,Vacant,352000.00 BDT,Commercial,625,16000,Warehouse,https://propertyfinderbd.com/property-details/625,Rent,,,"Warehouse for rent in Kamarpara, Uttara",2
"Sat, Dec 24, 2022 6:38 AM","JCX TOWER, 1136/A, Block-I, Level 5, Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","Fully Furnished Two Bedroom Serviced Apartment RENT in Bashundhara R/A. Short-Term Rentals are available with Kitchen, TV, Geyser, Refrigerator, WiFi, Microwave oven, A/C.
.
Facilities Available
>Fully Furnished Apartment
>Security & Laundry Service
>Filter, Washing Machine, LP Gas
>Drawing, Dining Space Available
>Daily Room & Bathroom Cleaning
>WiFi, Microwave oven, Geyser, A/C
>Short-Term Rentals, TV, Refrigerator
.
Website: https://www.hotels.com.bd/.../2-bedroom-furnished.../
YouTube: https://www.youtube.com/watch?v=qVIoVfPGFmA
.
Contact For Booking:
+88 01712553547
+88 01921096842",Yes,,,"Tue, Dec 27, 2022 8:14 AM",Yes,6,1 Slot,Vacant,48000.00 BDT,Residential,627,800,Service Apartment,https://propertyfinderbd.com/property-details/627,Rent,,,Furnished Two BHK Serviced Apartment RENT.,2
"Wed, Dec 21, 2022 6:17 AM","JCX TOWER, 1136/A, Block-I, Level 5 Japan Street, Bashundhara R/A","Bashundhara Residential Area, Dhaka","With a virtual office, you will reduce expenses while still enjoying the benefits of a business office. Businesses can get a registered business address, mailing location and office-related services from a virtual office without the expense of a long rental. Employees can work virtually with a virtual office while still having access to amenities like mail, phone responding services, meeting spaces, and conferencing.
.
Benefits
> Mail Receiving & Forwarding
> No Hassle of Setting Up Office
> Paying Only For What You Need
> Get A Registered Business Address
> Call Handling & Telephone Answering
> Reduce Expenses, Workspace Service
> Teleconferencing & Videoconferencing
.
Please See more: https://www.host.com.bd/virtual-office/
.
Contact For Booking
+88 01712553547
+88 01921096846",,,,"Tue, Dec 27, 2022 5:37 AM",Yes,,,Vacant,1.00 BDT,Commercial,621,1700,Office Space,https://propertyfinderbd.com/property-details/621,Rent,,,Get Virtual Office Rent In Dhaka,
"Mon, Dec 26, 2022 4:21 AM",Savar,"Savar, Dhaka","15,000 sft factory shed/warehouse for rent in Savar. There are boundary walls all around, height of the center of this shed is 35 feet and site wall is 18 feet. There are available electricity, water, loading & unloading facilities.",,Partial,,"Mon, Dec 26, 2022 4:21 AM",,,3 Slot,Vacant,250000.00 BDT,Commercial,628,15000,Factory Shade,https://propertyfinderbd.com/property-details/628,Rent,,,"15,000 sft Shed/warehouse for rent in Savar",4
"Mon, Dec 26, 2022 6:55 AM","Tejgoan, Dhaka.","Tejgaon, Dhaka","The 30,000 square feet area surrounded by bricks wall be rented in Tejgoan, the heart of Dhaka city. It is very useful as a warehouse, depot, for any foreign company. Tejgaon is the only industrial area in Dhaka city where there are a large number of factories, warehouses and offices of corporate and foreign companies. It is very easy to deliver products to any part of the city. Moreover it can be used as an office of a foreign organization.",,No,,"Mon, Dec 26, 2022 6:55 AM",,,4 Slot,Vacant,2400000.00 BDT,Commercial,631,30000,Warehouse,https://propertyfinderbd.com/property-details/631,Rent,,,"Land with Shed for Rent In Tejgoan, Dhaka",6
"Mon, Dec 20, 2021 5:37 AM","Sitakund, Chittagong","Shitakunda, Chittagong","17 Bigha ( 2,44,800 Sqft ) high land will be sale instantly at Sitakund, Chittagong, Dhaka Cittagong Highway & very close to  Sitakund Bus Station. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of Dhaka Cittagong Highway road & the price of each Decimal of land 3,63,636/= Taka, please call genuine buyer only.",,No,,"Mon, Dec 20, 2021 5:37 AM",,1,,Vacant,204000000.00 BDT,Land,384,244800,Factory Land,https://propertyfinderbd.com/property-details/384,Sale,,,"17 Bigha Land Sale in Sitakund, Chittagong",
"Tue, Dec 21, 2021 8:41 AM",Gulshan Avenue,"Gulshan, Dhaka","3,000 sft ready commercial office space available for sale At Gulshan Avenue Dhaka. Fully Commercial Building according to RAJUK new rules at 8th floor with 2 executive toilet, pantry, nice views, floor finished by mirror polish tiles, bright, 2 lifts, emergency stair case, modern fire fitting system, 100% compliance & LED Certified building . Generator 100% Power backup.

Note: Currently there are tenants on this floor & owner is getting rent  BDT 4,00,000/= per month.",Yes,Full Backup,,"Tue, Dec 21, 2021 8:41 AM",Yes,7,2 Slot,Vacant,84000000.00 BDT,Commercial,387,3000,Commercial Building,https://propertyfinderbd.com/property-details/387,Sale,Yes,,"3,000 Sqft Commercial Space For Sale At Gulshan Avenue",4
"Wed, Dec 22, 2021 10:07 AM","Arshi Nagar, Near Mohammadpur,Dhaka-1312","Keraniganj, Dhaka","Project Name- RPL LR TOWER
আমাদের প্রজেক্টের বৈশিষ্ট্যসমূহ-
১।ভূমিকম্প প্রতিরোধী।
২।২৪ ঘন্টা জেনারেটরের সুবিধা।
৩।ইন্টারকম সুবিধা।
৪। ২৪ ঘন্টা লিফটের সুবিধা।
৫।ছাদের উপর সুসজ্জিত বাগানের ব্যবস্থা।
৬।প্রশস্ত নামাজের জায়গা।
৭। ২৪ ঘন্টা নিরাপত্তা ব্যবস্থা।
৮।গাড়ি পার্কিং সুবিধা।
৯।ডেস্কো বিদ্যুৎ সংযোগ।
১০।ফায়ার অ্যালার্ম সিস্টেম।
১১। নিরাপত্তার লক্ষ্যে সিসিটিভি সংযোগ।
১২।ওয়াসা পানি ও পয়ঃনিষ্কাশন সংযোগ।
১৩।অভ্যর্থনা / অপেক্ষা করার জায়গা।
১৪।আধুনিক এবং যুগোপযোগী কমিউনিটি হল।
PROJECT BRIEF :
Developer: Reon properties Ltd.
Project Name: RPL LR TOWER.
9 Storied Building (G+8)
4 Unit Each Floor
3 bed, 3 bath, 3 Balcony, Drawing, Dining & Kitchen.
Facilities:
Lift: 01 (6-8 Passenger Capacity)
Generator & Substation
Car Parking
TV Cable
Administrative support
Drive Way
Security System
Full time CCTV
Fireplace
Meeting rooms
Intercom
Electricity.
Contact Us for more Information:
Company Name: Reon Properties Ltd.
Web: www.reongroup.net/
www.reonpropertiesltd/",,Full Backup,,"Sun, Dec 26, 2021 5:45 AM",Yes,9,8 Slot,Hired,3500.00 BDT,Residential,388,1250,Apartment,https://propertyfinderbd.com/property-details/388,Sale,Yes,,Almost Ready Apartment Sale Near Mohammadpur,3
"Mon, Dec 20, 2021 7:29 AM","Galan, Dhaka City Bypass","Dhaka City Bypass., Dhaka","7 Bigha (100,800 Sqft ) high land will be sale instantly at Galan, Dhaka City Bypass & very close to Purbachal Sector # 28. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of 24 feet road & the price of each katha of land 12,50,000 lakh Taka, please call genuine buyer only.",,No,,"Mon, Dec 20, 2021 7:29 AM",,1,,Vacant,175000000.00 BDT,Land,386,100800,Factory Land,https://propertyfinderbd.com/property-details/386,Sale,,,"7 Bigha Factory Land Available For Sale At Galan, Dhaka City Bypass.",
"Sun, Dec 26, 2021 6:51 AM",Dhaka Chittagong Highway in Sonargoan.,"Dhaka Chittagong Highway, Dhaka","7 Bigha (93,600 Sqft ) high land will be sale instantly at Galan, Dhaka City Bypass & very close to Purbachal Sector # 28. There is electricity facility next to the land; the land is very useful for any kind of factories, resorts and bungalows etc. The land is located on the side of 24 feet road & the price of each katha of land 12,50,000 lakh Taka, please call genuine buyer only.",,No,,"Sun, Dec 26, 2021 6:51 AM",,1,,Vacant,33000000.00 BDT,Land,391,93600,Factory Land,https://propertyfinderbd.com/property-details/391,Sale,,,6.5 Bigha Factory Land Available For Sale on Dhaka Chittagong Highway in Sonargoan.,
